Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
PCF11,-0.10436622,1.0,TSPAN7,23.965563,0.5451318709731849,SPRYD7,0.0009792672,1.0,PHF7,0.5804074,0.9827550559282319,ASNA1,-1.0161054,0.5344831435699627
ACTR1A,-0.1526821,1.0,RBM45,24.747889,0.5451318709731849,CHKB,0.0,1.0,TGOLN2,0.4270787,0.9834047940846801,RPAIN,-1.013278,0.5337165515348273
ZMYND11,-0.20107058,1.0,GPCPD1,1.1846458,0.5451318709731849,TFPI2,0.0,1.0,ZNF766,0.5503471,0.9837318860141501,PSMB8,-1.0245996,0.5320651263728619
ATF7IP,-0.20960283,1.0,ACLY,2.0047102,0.5454793466395635,APOO,0.0,1.0,USP10,0.38357797,0.9837565826769245,LSM10,-1.0239631,0.5308633873768114
RSF1,-0.17057958,1.0,ANAPC13,1.0466977,0.5451318709731849,AL928768.3,0.0,1.0,NMRK1,0.40976048,0.9838414944928745,MMP24-AS1,-1.0287584,0.5301920429508153
UTP3,-0.2949365,1.0,LINC01481,1.1291689,0.5455153627444951,TCL1A,0.0,1.0,BET1L,0.6254896,0.9838337332279581,RBM6,-1.0335667,0.5288514310550689
ASH1L,-0.11861298,1.0,NEK6,1.9267094,0.5459141194015074,IGHD,0.0,1.0,CTNNB1,0.30498412,0.9859834152801018,BRK1,-0.8241137,0.5299188462755727
GRK6,-0.18364821,1.0,OAF,2.0628521,0.5458306627589172,ESPN,0.0,1.0,CNOT7,0.25444058,0.9872228818329667,IGHA1,-0.5437658,0.5280791841790278
MANSC1,-0.29851794,1.0,DHRS12,2.0551248,0.5460799529662775,MMP23B,0.0,1.0,SFXN5,0.5285934,0.9883393948889735,AP2B1,-1.02664,0.5255161232037727
SERINC1,-0.12525743,1.0,SZRD1,1.4084073,0.5458306627589172,ZBP1,0.0,1.0,PDAP1,0.21273327,0.9883393948889735,SLC1A3,-1.0402108,0.5232010412403731
