"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Fibroblast.NCOA1",295,0.494815424484747,0.602165211491607,-0.161857243236203,-0.161857243236203,-0.0481,"NCOA1","Fibroblast","ns"
"Fibroblast.NCOA2",96,0.00689006723755753,0.0257659806071162,-0.692162438886351,-0.692162438886351,-0.296,"NCOA2","Fibroblast","*"
"Fibroblast.NCOA3",20,8.97006340646319e-05,0.00161012638146014,-0.908650855640385,-0.908650855640385,-0.442,"NCOA3","Fibroblast","**"
"Fibroblast.NEUROD1",227,0.178840711335304,0.282836191054511,-0.252540091558033,-0.252540091558033,-0.159,"NEUROD1","Fibroblast","ns"
"Fibroblast.NFAT5",105,0.009332823907294,0.0319093693592242,0.455816824062575,0.455816824062575,-0.151,"NFAT5","Fibroblast","*"
"Fibroblast.NFATC1",239,0.227886902124826,0.341719566084814,-0.219957964042714,-0.219957964042714,-0.116,"NFATC1","Fibroblast","ns"
"Fibroblast.NFE2",279,0.38806668358235,0.499340284609548,0.192323855949974,0.192323855949974,0.113,"NFE2","Fibroblast","ns"
"Fibroblast.NFE2L1",247,0.244692461149331,0.35564612774336,-0.198036201167239,-0.198036201167239,-0.108,"NFE2L1","Fibroblast","ns"
"Fibroblast.NFE2L2",340,0.840315102774528,0.887273887929575,-0.0337700375866442,-0.0337700375866442,-0.0103,"NFE2L2","Fibroblast","ns"
"Fibroblast.NFIA",326,0.698484322764779,0.76918979102011,-0.0970215727062604,-0.0970215727062604,-0.106,"NFIA","Fibroblast","ns"
"Fibroblast.NFIC",228,0.179817542769067,0.28313376251796,-0.27123741796955,-0.27123741796955,-0.168,"NFIC","Fibroblast","ns"
"Fibroblast.NFKB1",113,0.0109407246718278,0.0347585854618247,0.554427154223312,0.554427154223312,0.282,"NFKB1","Fibroblast","*"
"Fibroblast.NFKB2",265,0.310087828826478,0.420081247353606,-0.20647126568347,-0.20647126568347,-0.11,"NFKB2","Fibroblast","ns"
"Fibroblast.NFYA",84,0.00463316476845391,0.0196704111409618,0.589141653653188,0.589141653653188,0.25,"NFYA","Fibroblast","*"
"Fibroblast.NFYB",90,0.00563138032426206,0.0224629504045564,0.617883887558166,0.617883887558166,0.294,"NFYB","Fibroblast","*"
"Fibroblast.NFYC",140,0.0207237323760579,0.0528875301017222,0.49052283527781,0.49052283527781,0.0783,"NFYC","Fibroblast","ns"
"Fibroblast.NME2",179,0.0688222026199975,0.138028886818878,-0.41166335798962,-0.41166335798962,-0.208,"NME2","Fibroblast","ns"
"Fibroblast.NR1H2",114,0.0114535597000184,0.036068666072865,-0.532476736679559,-0.532476736679559,-0.293,"NR1H2","Fibroblast","*"
"Fibroblast.NR1H3",224,0.16588797170174,0.265865097504129,-0.164152157677339,-0.164152157677339,-0.188,"NR1H3","Fibroblast","ns"
"Fibroblast.NR1H4",356,0.985508988037092,0.991150895911913,0.0019963094268792,0.0019963094268792,-0.361,"NR1H4","Fibroblast","ns"
"Fibroblast.NR1I2",292,0.489165256577091,0.601405229832793,-0.138231976142884,-0.138231976142884,-0.0318,"NR1I2","Fibroblast","ns"
"Fibroblast.NR2C2",277,0.381448089183527,0.494367740133163,-0.230486560227859,-0.230486560227859,-0.159,"NR2C2","Fibroblast","ns"
"Fibroblast.NR2F1",249,0.257111209431972,0.370694474642884,-0.285408901073434,-0.285408901073434,-0.148,"NR2F1","Fibroblast","ns"
"Fibroblast.NR2F2",109,0.0102513288301829,0.0337635509177584,-0.591367541958186,-0.591367541958186,-0.234,"NR2F2","Fibroblast","*"
"Fibroblast.NR2F6",128,0.0162988626472557,0.045713216330975,-0.503814252462033,-0.503814252462033,-0.19,"NR2F6","Fibroblast","*"
"Fibroblast.NR3C1",62,0.00169634666628915,0.00982239440641621,-0.702214801187335,-0.702214801187335,-0.302,"NR3C1","Fibroblast","**"
"Fibroblast.NR4A1",7,4.62827736256945e-06,0.000237364510451776,-1.14116280275173,-1.14116280275173,-0.53,"NR4A1","Fibroblast","***"
"Fibroblast.NR5A1",225,0.171903572928841,0.274281700806461,0.204365287493875,0.204365287493875,-0.102,"NR5A1","Fibroblast","ns"
