receptor,tf
Birc3,Sox4
Birc3,Sox6
Birc3,Sp3
Birc3,Tfap2b
Birc3,Tfap2c
Birc3,Trps1
Birc3,Zhx1
Birc5,Atf2
Birc5,E2f1
Birc5,E2f2
Birc5,E2f3
Birc5,Hif1a
Birc5,Jun
Birc5,Mef2a
Birc5,Mef2c
Birc5,Myc
Birc5,Myod1
Birc5,Runx3
Birc5,Sp1
Birc5,Sp3
Birc5,Spi1
Birc5,Tbp
Birc5,Tfdp1
Birc5,Yy1
Blk,Elk1
Blk,Ikzf3
Blk,Jun
Blk,Nfkb1
Blk,Smad3
Bmpr1a,E2f1
Bmpr1a,Fos
Bmpr1a,Hoxc8
Bmpr1a,Nfkb1
Bmpr1a,Rela
Bmpr1a,Smad1
Bmpr1a,Smad3
Bmpr1a,Smad5
Bmpr1b,Arntl
Bmpr1b,Atf1
Bmpr1b,Atf2
Bmpr1b,Creb1
Bmpr1b,Crem
Bmpr1b,Dlx5
Bmpr1b,E2f1
Bmpr1b,E2f2
Bmpr1b,E2f3
Bmpr1b,E2f4
Bmpr1b,E2f5
Bmpr1b,Elf1
Bmpr1b,Elk1
Bmpr1b,Fos
Bmpr1b,Foxa2
Bmpr1b,Foxg1
Bmpr1b,Foxo1
Bmpr1b,Foxo3
Bmpr1b,Foxo4
Bmpr1b,Foxo6
Bmpr1b,Gabpa
Bmpr1b,Gata1
Bmpr1b,Gata2
Bmpr1b,Gcm1
Bmpr1b,Gli1
Bmpr1b,Hand1
Bmpr1b,Hes5
Bmpr1b,Hif1a
Bmpr1b,Hif3a
Bmpr1b,Hmga1
Bmpr1b,Hnf1a
Bmpr1b,Hoxb6
Bmpr1b,Hoxc8
Bmpr1b,Irf3
Bmpr1b,Irf5
Bmpr1b,Irf7
Bmpr1b,Jun
Bmpr1b,Lef1
Bmpr1b,Max
Bmpr1b,Mitf
Bmpr1b,Mxd1
Bmpr1b,Myb
Bmpr1b,Mybl2
Bmpr1b,Myc
Bmpr1b,Myod1
Bmpr1b,Myt1
Bmpr1b,Nfatc1
Bmpr1b,Nfatc2
Bmpr1b,Nfatc3
Bmpr1b,Nfkb1
Bmpr1b,Nfkb2
Bmpr1b,Nkx3-1
Bmpr1b,Nr4a1
Bmpr1b,Nrf1
Bmpr1b,Pou5f1
Bmpr1b,Purb
Bmpr1b,Rela
Bmpr1b,Runx2
Bmpr1b,Ski
Bmpr1b,Smad1
Bmpr1b,Smad3
Bmpr1b,Smad4
Bmpr1b,Smad5
Bmpr1b,Snai1
Bmpr1b,Sox2
Bmpr1b,Sp1
Bmpr1b,Sp3
Bmpr1b,Spi1
Bmpr1b,Stat1
Bmpr1b,Tal1
Bmpr1b,Tbp
Bmpr1b,Tcf3
Bmpr1b,Terf1
Bmpr1b,Tfcp2
Bmpr1b,Tfdp1
Bmpr1b,Twist1
Bmpr1b,Yy1
Bmpr1b,Zbtb16
Bmpr2,Creb1
Bmpr2,E2f1
Bmpr2,E4f1
Bmpr2,Foxl1
Bmpr2,Lmx1a
Bmpr2,Sp1
Bmx,Cebpb
Bmx,Creb1
Bmx,Elf1
Bmx,Elk1
Bmx,Foxo3
Bmx,Hmga1
Bmx,Ikzf3
Bmx,Irf3
Bmx,Myc
Bmx,Nfatc2
Bmx,Rela
Bmx,Smad1
Bmx,Smad3
Bmx,Sp1
Bmx,Stat1
Bmx,Stat5a
Bmx,Tfcp2
Btk,Arid3a
Btk,Creb1
Btk,Elf1
Btk,Elk1
Btk,Foxo3
Btk,Gli1
Btk,Gli2
Btk,Gli3
Btk,Glis2
Btk,Gtf2i
