"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"PINK1",0.0607605666277527,0.0156902929953988,0,0,0
"DDOST",0,0.128933684122995,0.00782893277867664,0.240974661763313,0.160099223806834
"HP1BP3",0.0995010141513536,0.363978030676724,0.291114497806777,0.229687358557318,0.167000702008937
"EIF4G3",0,0.0678236798375547,0,0,0
"ECE1",0,0,0,0,0
"ALPL",0,0.238426096010944,0,0,0
"USP48",0.0285064774132458,0.0677435376083222,0.0374807435851003,0,0.113827651015074
"HSPG2",0,0.313880283412531,0.128525759169251,0.0357908309677438,0.111192640683925
"CDC42",0.282481784712612,0.331729447737175,0.225023742860963,0.607754022975055,0.132835251421352
"KDM1A",0,0.0315237218613791,0,0,0
"LUZP1",0,0.0942834348608507,0.108031178923834,0.0384399381441578,0
"HNRNPR",0.0811383629716414,0.339024179770402,0.143542563275842,0.252064798368148,0
"TCEA3",0,0.107431216308334,0,0.0615887479831338,0
"E2F2",0.0418629281368569,0,0.0278868797969778,0,0.113544493140395
"ID3",0.0268642860815593,0.967803687596175,0.52313958929655,0.106124339597229,0
"RPL11",1.21645298869251,1.79824115515019,3.21387223598984,3.05807027852432,1.74160418025022
"TCEB3",0,0.0189225554509155,0,0,0
"PITHD1",0.388406269383291,0.0561021243346255,0.213905172143459,0.216682913554763,0.327925199260743
"LYPLA2",0.0157351841076027,0.157898465295512,0,0.0244086847192849,0
"GALE",0,0.0247034466014849,0.0374807435851003,0,0
"FUCA1",0,0.0676987827510869,0,0,0
"PNRC2",0.204522901169238,0.279489198917851,0.104642541627649,0.19084551298929,0
"SRSF10",0.116974900101294,0.110234377931824,0.132740944052929,0.136013430471936,0.350964435708271
"RCAN3",0,0,0,0,0
"SRRM1",0.186680829217205,0.135800842590793,0.137042628253889,0.152260302400028,0.0531730509938633
"CLIC4",0.0417573786271453,0.189429387143796,0.0861424268956687,0.0661184686968122,0
"RUNX3",0,0.0127978916251743,0,0.0793043426465352,0.0991040790008313
"SYF2",0.157028719003947,0.209669283462221,0.114260053274261,0.132970680903795,0.0531730509938633
"RSRP1",0.499913632534265,0.592385317964988,0.265371357939944,0.271865555337605,0.269723002766538
"TMEM50A",0.370619313342847,0.574217063075686,0.156663041113693,0.19227409891752,0
"RHCE",0.108974422160035,0.0526423235076905,0,0.0446272252836514,0
"TMEM57",0.196535082632981,0.078156611574193,0,0.0731594331997012,0
"LDLRAP1",0,0.149425399928109,0,0.0384548553535914,0
"MTFR1L",0,0.079672909445631,0.139364692771751,0.120784574972119,0
"STMN1",1.43751517524739,0.0518287106748238,0.264219407325467,0.398166697887599,0.225784203038638
"ZNF593",0.0225905525229029,0.102743142468896,0.0441299513079506,0.0792289923893112,0
"SH3BGRL3",0.234608100026897,0.39318788093127,1.65451073155379,2.2820090498528,0.319033324150344
"CD52",0.0128087080558911,0,0,0.60126380626385,0
"HMGN2",0.268570780044774,0.521997804084749,0.898569888882625,0.808458589275742,1.41412184170224
"RPS6KA1",0.014765773120322,0.00948576082181009,0.0425446572520947,0,0
"ARID1A",0,0.106496618880962,0.0637096061387086,0,0
"NUDC",0.1743406991389,0.239482837746324,0.181984063587575,0.0805227674219742,0
"TMEM222",0.0234848609444369,0.0682867920954954,0.0787193290999819,0.0664184708053168,0.0778578761803906
"SYTL1",0,0,0,0.0965981398685382,0.108150426234825
"WASF2",0.214876909249986,0.29798133170245,0.354080386137905,0.155921491721067,0.0870276611063499
"FGR",0,0,0,0,0
"IFI6",0.343706770424348,0.975377297363831,0.160820677879357,0.66755204146756,0.211440885591431
"FAM76A",0.0496767169393833,0.100891159585881,0.0396412859506687,0,0
"STX12",0,0.140832832680409,0,0.0162626133344135,0
"PPP1R8",0.016072310047963,0.00948576082181009,0.0320641673234746,0.0292409610389706,0
"THEMIS2",0.0262665394454867,0.0429848988647868,0,0.0465377981617549,0
"RPA2",0,0.0340852616760408,0.0430113759000174,0.0593274084256421,0.0549773752409617
"EYA3",0,0.0602897706405649,0.0362992611218072,0.0299761966798694,0
"DNAJC8",0.090070918844429,0.167027766844963,0.165929842283298,0.16952407837111,0
"ATPIF1",0.170734815590847,0.477506007768553,0.58103331422704,0.69813346780755,0.594022991278445
"PHACTR4",0.010546202737323,0.224959583460382,0.0262760429325846,0,0
"TRNAU1AP",0.0244530146336821,0.0955298380552504,0,0.0100057823931717,0.113827651015074
"SNHG12",0.0242475246454675,0.0866340469508903,0.107055273373874,0,0.113827651015074
"TAF12",0.0245386938858603,0.0731481775037578,0,0.142006291363092,0
"GMEB1",0,0.0248574004140812,0,0,0
"YTHDF2",0.0644808709992896,0.177649626010208,0,0.0309753951022747,0
"EPB41",0.0666204594860141,0,0.114702483883512,0.0838281167702356,0
"SRSF4",0.0271665659974147,0.207414591796357,0.00782893277867664,0.124390690320146,0
"LAPTM5",0.0114011621939292,0,0.0830877960065542,0.473705615035113,0.309769872115287
"PUM1",0.05198834805079,0.12310682995454,0,0.0292409610389706,0
"SNRNP40",0.0174899151275669,0.0798744122557707,0.0548481889378468,0.0983113277293335,0
"ZCCHC17",0.0945987673330422,0.00948576082181009,0.0790296372667073,0.0527961095852095,0
"SERINC2",0,0,0.0427632992342157,0,0
"PEF1",0.078279392985252,0.0270560828081457,0.00782893277867664,0.211537046037445,0
"SPOCD1",0,0,0,0,0
"PTP4A2",0.0442904311729093,0.0527822790286739,0.305483456921164,0.187750089559496,0
"KHDRBS1",0.0294635223614587,0.372035852043715,0.0393596645499909,0.0246257858522812,0
"TMEM39B",0,0.0452836048727763,0.037284744872734,0.0165724927761615,0
"KPNA6",0.0381243775228064,0.0114441484509284,0,0.0915999550226989,0
"TXLNA",0,0.155271556246229,0.0839895035870257,0.0384552471341741,0
"CCDC28B",0.0159526595094166,0,0.0699776424957666,0.118389158489748,0
"EIF3I",0.113915901530621,0.222654016605381,0.154961739003184,0.419772699810182,0
"LCK",0,0,0,0.32611818735376,0
"HDAC1",0,0.0386005598700589,0.0728565970002018,0.19330577649187,0
"MARCKSL1",0.0707570575190495,0.173307064602157,0.0287643030308026,0.0768208872904789,0
"BSDC1",0.174005106151069,0.158342766316498,0.0625753040543919,0.093286484141899,0
"ZBTB8OS",0.0476494862614198,0.0235906044921018,0.0376821232343983,0.0574107224317299,0.191786478440051
"RBBP4",0.0277057415802583,0.21517862127909,0.0523733098051035,0.206882072221261,0.0549773752409617
"SYNC",0,0.112504090998432,0.030980255513353,0,0
"S100PBP",0,0.0575968154757,0.0193201832389251,0.0598378149602491,0
"TMEM54",0,0.0127978916251743,0.0415158546142372,0,0
"AK2",0.0138683702379235,0.150439122088528,0.0593304124579312,0.0189554752975558,0
"SMIM12",0.0514937067184101,0.0369756540599455,0.15328696471797,0.246248666130128,0
"SFPQ",0.203808483684263,0.48035120449165,0.260977117237249,0.0755123526407293,0
"ZMYM4",0,0.0603735904866539,0,0.0299761966798694,0.113827651015074
"KIAA0319L",0,0.0688803828826959,0,0,0
"PSMB2",0.19546017345568,0.200683228988553,0.0971861141527536,0.192542611581123,0.105121848565873
"ADPRHL2",0,0,0,0.0352180886319693,0
"TRAPPC3",0.0863805914341235,0.0894958432753887,0.155196338594549,0.126605164164181,0
"MAP7D1",0.0356874200371683,0.101925203968657,0.0828989757403392,0.103755500571271,0
"THRAP3",0.16371077569566,0.154457551442072,0.0350591775244126,0.190747474926061,0
"EVA1B",0,0.0791904157639659,0.308427611775045,0.0144029023261131,0
"LSM10",0.05278804284803,0.115060454209596,0.168180283927878,0.173811940929708,0.0531730509938633
"MRPS15",0.0737318952864515,0.0492257314871566,0.105886307773842,0.0996598048136206,0
"CSF3R",0,0,0.0719730415799404,0,0.113827651015074
"ZC3H12A",0,0,0.0356737804581332,0,0
"MEAF6",0,0.0464958646861871,0.0398473010749735,0.126040301857022,0.0531730509938633
"GNL2",0.0129687138308994,0.044898973173197,0,0.0160563302644657,0
"RSPO1",0,0.166059242339501,0,0,0
"CDCA8",0.0161265513907695,0.0167027824833499,0.0489133104642925,0,0.0531730509938633
"YRDC",0.0119460945866174,0.026712946285286,0.0479718021348946,0,0
"C1orf122",0.0229832412115584,0.386109489088797,0.0385953798948879,0.0574856654123152,0.101168272800125
"MTF1",0,0.0766424957598638,0,0,0.113827651015074
"SF3A3",0.0467484719944284,0.0114441484509284,0.0741458438405354,0.117909360108344,0.0549773752409617
"UTP11L",0.0596465938705516,0.0314433888067798,0.0756937156320609,0.0956838084545556,0
"RRAGC",0.0121921220259269,0.0609032689290206,0,0,0
"MYCBP",0,0,0.00782893277867664,0.0654612713767952,0.110588719420213
"AKIRIN1",0.0635820285579706,0.113014390204968,0.0837290425413154,0.117064646175771,0
"NDUFS5",0.112145572878622,0.477888126058211,0.206503149679759,0.663530317117382,0.474903074223596
"MACF1",0.0492519667873549,0.252811271476621,0.117887274895882,0.115079864624263,0
"PABPC4",0,0.12729027115727,0.19573135865606,0.0830928350266144,0
"PPIE",0,0.146943129417655,0.0287643030308026,0.159101134865412,0.105121848565873
"CAP1",0.0239964011109767,0.0881330930632979,0.177229763774333,0.799438341117152,0.095985868838559
"PPT1",0,0.0854236333606886,0,0.118911438995451,0
"RLF",0.0482358289240742,0.0305377282638657,0,0,0
"ZMPSTE24",0,0.0114441484509284,0,0.0662013696723204,0
"SMAP2",0.0225905525229029,0,0.0400575475502338,0,0
"NFYC",0.010546202737323,0.0618010832660586,0.00782893277867664,0.0721056688714247,0.127690130636647
"CITED4",0,0.0579014817548188,0,0,0.214312531694014
"CTPS1",0,0,0,0.0165724927761615,0
"SCMH1",0,0.0373661226427015,0,0,0
"HIVEP3",0,0.01805309860903,0,0,0
"PPCS",0.0114546474720603,0.115672161007027,0.0429489514819719,0.164220203117112,0.104766186903061
"PPIH",0.0152068678206018,0.0886943182450612,0.048683864419239,0,0.108150426234825
"YBX1",0.784368289934999,0.754860763719985,1.44886376763749,1.39071418423172,0.835548356925777
"P3H1",0,0.0760288984764419,0.0362992611218072,0.0165724927761615,0
"C1orf50",0,0.0437086668581628,0.00782893277867664,0.117923479372231,0
"SVBP",0.30340572726304,0.0850581095436607,0.0350851263834325,0.143145224010382,0
"ERMAP",0.183311050587163,0,0.07140727754988,0.0292409610389706,0
"SLC2A1",1.02688200582622,0.108073119877261,0.192951600036862,0.152509980829753,0
"EBNA1BP2",0.0125472644474086,0.0669062671354587,0.0791720349598563,0.0991013855651822,0
"CDC20",0.0162091874778129,0,0.262195336742381,0.0162626133344135,0
"ELOVL1",0.0530532711747892,0.0376023458252017,0.344395703518181,0.106177359074976,0.0549773752409617
"MED8",0.0211823897548313,0.0268096329582743,0,0.142278527681371,0.168805026256035
"HYI",0.035825223515447,0.128448473232863,0,0.0551737451345524,0.0991040790008313
"PTPRF",0.0827505421398132,0.0264874803254835,0,0,0
