"","source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"180","Megakaryocyte","Megakaryocyte","PKN2","STAT4","Receptor","Transcription Factor",0.764499751322428
"181","Megakaryocyte","Megakaryocyte","PRKAA1","STAT4","Receptor","Transcription Factor",0.764499751322428
"182","Megakaryocyte","Megakaryocyte","PRKCA","STAT4","Receptor","Transcription Factor",0.764499751322428
"183","Megakaryocyte","Megakaryocyte","PRKCB","STAT4","Receptor","Transcription Factor",0.764499751322428
"184","Megakaryocyte","Megakaryocyte","PRKCZ","STAT4","Receptor","Transcription Factor",0.764499751322428
"185","Megakaryocyte","Megakaryocyte","PTEN","STAT4","Receptor","Transcription Factor",0.764499751322428
"186","Megakaryocyte","Megakaryocyte","PTPN1","STAT4","Receptor","Transcription Factor",0.764499751322428
"187","Megakaryocyte","Megakaryocyte","PTPRF","STAT4","Receptor","Transcription Factor",0.764499751322428
"188","Megakaryocyte","Megakaryocyte","RET","STAT4","Receptor","Transcription Factor",0.764499751322428
"189","Megakaryocyte","Megakaryocyte","SENP1","STAT4","Receptor","Transcription Factor",0.764499751322428
"190","Megakaryocyte","Megakaryocyte","SIRT1","STAT4","Receptor","Transcription Factor",0.764499751322428
"191","Megakaryocyte","Megakaryocyte","SRC","STAT4","Receptor","Transcription Factor",0.764499751322428
"192","Megakaryocyte","Megakaryocyte","TBK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"193","Megakaryocyte","Megakaryocyte","TNK2","STAT4","Receptor","Transcription Factor",0.764499751322428
"194","Megakaryocyte","Megakaryocyte","ABL1","TBX21","Receptor","Transcription Factor",0.697170287323639
"195","Megakaryocyte","Megakaryocyte","RPS6KA3","TBX21","Receptor","Transcription Factor",0.697170287323639
"196","Megakaryocyte","Megakaryocyte","VDR","CALR","Transcription Factor","Ligand",0.271950921189572
"197","Megakaryocyte","Megakaryocyte","VDR","HSPA8","Transcription Factor","Ligand",0.271950921189572
"198","Megakaryocyte","Megakaryocyte","VDR","NRP1","Transcription Factor","Ligand",0.271950921189572
"199","Megakaryocyte","Megakaryocyte","ATM","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"200","Megakaryocyte","Megakaryocyte","BMPR1B","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"201","Megakaryocyte","Megakaryocyte","CAMKK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"202","Megakaryocyte","Megakaryocyte","CASP3","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"203","Megakaryocyte","Megakaryocyte","CDK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"204","Megakaryocyte","Megakaryocyte","CDK2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"205","Megakaryocyte","Megakaryocyte","CDON","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"206","Megakaryocyte","Megakaryocyte","CHUK","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"207","Megakaryocyte","Megakaryocyte","DAPK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"208","Megakaryocyte","Megakaryocyte","EGFR","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"209","Megakaryocyte","Megakaryocyte","GSK3A","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"210","Megakaryocyte","Megakaryocyte","GSK3B","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"211","Megakaryocyte","Megakaryocyte","HIPK2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"212","Megakaryocyte","Megakaryocyte","HSP90AA1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"213","Megakaryocyte","Megakaryocyte","HSP90AB1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"214","Megakaryocyte","Megakaryocyte","IKBKB","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"215","Megakaryocyte","Megakaryocyte","IKBKE","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"216","Megakaryocyte","Megakaryocyte","ILK","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"217","Megakaryocyte","Megakaryocyte","INSR","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"218","Megakaryocyte","Megakaryocyte","IRAK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"219","Megakaryocyte","Megakaryocyte","ITGB1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"220","Megakaryocyte","Megakaryocyte","JAK2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"221","Megakaryocyte","Megakaryocyte","MAP2K4","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"222","Megakaryocyte","Megakaryocyte","MAP2K5","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"223","Megakaryocyte","Megakaryocyte","MAP3K1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"224","Megakaryocyte","Megakaryocyte","MAPK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"225","Megakaryocyte","Megakaryocyte","MAPK10","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"226","Megakaryocyte","Megakaryocyte","MAPK11","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"227","Megakaryocyte","Megakaryocyte","MAPK14","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"228","Megakaryocyte","Megakaryocyte","MAPK3","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"229","Megakaryocyte","Megakaryocyte","MAPK8","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"230","Megakaryocyte","Megakaryocyte","MAPK9","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"231","Megakaryocyte","Megakaryocyte","MAPKAPK2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"232","Megakaryocyte","Megakaryocyte","MET","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"233","Megakaryocyte","Megakaryocyte","MST1R","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"234","Megakaryocyte","Megakaryocyte","MTOR","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"235","Megakaryocyte","Megakaryocyte","PAK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"236","Megakaryocyte","Megakaryocyte","PDGFRB","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"237","Megakaryocyte","Megakaryocyte","PDK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"238","Megakaryocyte","Megakaryocyte","PDPK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"239","Megakaryocyte","Megakaryocyte","PIK3CA+PIK3R1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"240","Megakaryocyte","Megakaryocyte","PIK3CA","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"241","Megakaryocyte","Megakaryocyte","PIK3R1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"242","Megakaryocyte","Megakaryocyte","PKN2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"243","Megakaryocyte","Megakaryocyte","PLK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"244","Megakaryocyte","Megakaryocyte","PRKAA1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"245","Megakaryocyte","Megakaryocyte","PRKACA","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"246","Megakaryocyte","Megakaryocyte","PRKACB","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"247","Megakaryocyte","Megakaryocyte","PRKCA","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"248","Megakaryocyte","Megakaryocyte","PRKCB","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"249","Megakaryocyte","Megakaryocyte","PRKCD","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"250","Megakaryocyte","Megakaryocyte","PRKCI","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"251","Megakaryocyte","Megakaryocyte","PRKCZ","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"252","Megakaryocyte","Megakaryocyte","PRKD1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"253","Megakaryocyte","Megakaryocyte","PTEN","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"254","Megakaryocyte","Megakaryocyte","PTK2","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"255","Megakaryocyte","Megakaryocyte","PTPN1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"256","Megakaryocyte","Megakaryocyte","PTPRF","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"257","Megakaryocyte","Megakaryocyte","RACK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"258","Megakaryocyte","Megakaryocyte","RET","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"259","Megakaryocyte","Megakaryocyte","ROCK1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"260","Megakaryocyte","Megakaryocyte","RPS6KA3","ZBTB16","Receptor","Transcription Factor",0.498454909350288
"261","Megakaryocyte","Megakaryocyte","RPS6KB1","ZBTB16","Receptor","Transcription Factor",0.498454909350288
