"","receptor","tf"
"2114","AURKA","NFATC2"
"2117","AURKA","NFATC3"
"2120","AURKA","NFKB1"
"2125","AURKA","NFKB2"
"2128","AURKA","NR4A1"
"2131","AURKA","NRF1"
"2134","AURKA","OSR1"
"2135","AURKA","PIN1"
"2136","AURKA","PITX2"
"2139","AURKA","POU5F1"
"2142","AURKA","POU6F1"
"2143","AURKA","PURB"
"2145","AURKA","RELA"
"2151","AURKA","RUNX1"
"2152","AURKA","RUNX2"
"2157","AURKA","RUNX3"
"2160","AURKA","SKI"
"2164","AURKA","SMAD1"
"2167","AURKA","SMAD3"
"2177","AURKA","SMAD4"
"2179","AURKA","SNAI1"
"2181","AURKA","SOX2"
"2184","AURKA","SOX4"
"2185","AURKA","SOX8"
"2186","AURKA","SP1"
"2198","AURKA","SP3"
"2203","AURKA","SPI1"
"2206","AURKA","SPIB"
"2207","AURKA","SREBF1"
"2208","AURKA","SRF"
"2209","AURKA","STAT1"
"2212","AURKA","TAL1"
"2215","AURKA","TBP"
"2218","AURKA","TCF3"
"2220","AURKA","TEAD1"
"2222","AURKA","TEAD2"
"2224","AURKA","TEAD3"
"2226","AURKA","TEAD4"
"2228","AURKA","TERF1"
"2231","AURKA","TFCP2"
"2232","AURKA","TFDP1"
"2235","AURKA","TP53"
"2261","AURKA","TP63"
"2263","AURKA","TP73"
"2268","AURKA","TWIST1"
"2271","AURKA","YBX1"
"2274","AURKA","YY1"
"2281","AURKA","ZNF322"
"2285","AXL","ELK1"
"2289","AXL","FOXO3"
"2291","AXL","HNF1A"
"2292","AXL","IKZF3"
"2296","AXL","JUN"
"2298","AXL","NFKB1"
"2299","AXL","NKX3-1"
"2300","AXL","RELA"
"2301","AXL","SMAD3"
"2303","AXL","STAT1"
"2304","AXL","STAT5A"
"2305","AXL","STAT5B"
"2306","AXL","TP53"
"2307","BAMBI","HIF1A"
"2308","BAMBI","MYC"
"2309","BAMBI","RBPJ"
"2310","BAMBI","SMAD3"
"2311","BAMBI","TP53"
"2312","BCL2","CREB1"
"2313","BCL2","DLX5"
"2314","BCL2","FOXA2"
"2315","BCL2","FOXG1"
"2316","BCL2","FOXO1"
"2317","BCL2","FOXO3"
"2319","BCL2","FOXO4"
"2320","BCL2","FOXO6"
"2321","BCL2","GATA1"
"2322","BCL2","GATA2"
"2323","BCL2","HAND1"
"2324","BCL2","HES5"
"2325","BCL2","HMGA1"
"2326","BCL2","JUN"
"2327","BCL2","MAX"
"2328","BCL2","MITF"
"2329","BCL2","MXD1"
"2330","BCL2","MYC"
"2331","BCL2","MYT1"
"2332","BCL2","NFATC2"
"2333","BCL2","NR4A1"
"2334","BCL2","NRF1"
"2335","BCL2","PITX2"
"2336","BCL2","POU5F1"
"2337","BCL2","RUNX2"
"2338","BCL2","SKI"
"2339","BCL2","SMAD3"
"2340","BCL2","SOX2"
"2341","BCL2","SP1"
"2342","BCL2","STAT1"
"2343","BCL2","TAL1"
"2344","BCL2","TERF1"
"2345","BCL2","TP53"
"2350","BCL2","TWIST1"
"2351","BCL2","YBX1"
"2352","BCL2","ZNF322"
"2353","BCL2L1","CREB1"
"2354","BCL2L1","DLX5"
"2355","BCL2L1","FOXA2"
"2356","BCL2L1","FOXG1"
"2357","BCL2L1","FOXO1"
"2358","BCL2L1","FOXO3"
"2359","BCL2L1","FOXO4"
"2360","BCL2L1","FOXO6"
"2361","BCL2L1","GATA1"
"2362","BCL2L1","GATA2"
"2363","BCL2L1","HAND1"
"2364","BCL2L1","HES5"
"2365","BCL2L1","MAX"
"2366","BCL2L1","MITF"
"2367","BCL2L1","MXD1"
"2368","BCL2L1","MYT1"
"2369","BCL2L1","NFATC2"
"2370","BCL2L1","NR4A1"
"2371","BCL2L1","NRF1"
