"","ligands_human"
"800","FGF18"
"801","FGF18"
"802","FGF18"
"803","FGF18"
"804","SLIT2"
"805","SLIT2"
"806","SLIT2"
"807","SLIT2"
"808","SLIT2"
"809","SLIT2"
"810","SLIT2"
"811","SLIT2"
"812","SLIT2"
"813","SLIT2"
"814","LRIG2"
"815","DKK1"
"816","DKK1"
"817","DKK1"
"818","DKK1"
"819","DKK1"
"820","DKK1"
"821","DKK1"
"822","DKK1"
"823","DKK1"
"824","SEMA3D"
"825","SEMA3D"
"826","SEMA3D"
"827","SEMA3D"
"828","SEMA3D"
"829","SEMA3D"
"830","SEMA3D"
"831","SEMA3D"
"832","SEMA3D"
"833","SEMA3D"
"834","TNFSF15"
"835","TNFSF15"
"836","TNFSF15"
"837","NXPH2"
"838","NXPH3"
"839","NXPH3"
"840","NXPH3"
"841","CCN4"
"842","CCN4"
"843","CCN4"
"844","GDF11"
"845","GDF11"
"846","GDF11"
"847","GDF11"
"848","GDF11"
"849","GDF11"
"850","GDF11"
"851","GDF11"
"852","GDF11"
"853","GDF11"
"854","GDF11"
"855","GDF11"
"856","BMP10"
"857","BMP10"
"858","BMP10"
"859","BMP10"
"860","BMP10"
"861","BMP10"
"862","BMP10"
"863","BMP10"
"864","BMP10"
"865","BMP10"
"866","BMP10"
"867","BMP10"
"868","BMP10"
"869","BMP10"
"870","BMP10"
"871","BMP10"
"872","UTS2"
"873","UTS2"
"874","UTS2"
"875","UTS2"
"876","UTS2"
"877","TNFRSF6B"
"878","TNFRSF6B"
"879","TNFRSF6B"
"880","CLDN14"
"881","NTN1"
"882","NTN1"
"883","NTN1"
"884","NTN1"
"885","NTN1"
"886","NTN1"
"887","NTN1"
"888","NTN1"
"889","NTN1"
"890","NTN1"
"891","NTN1"
"892","NTN1"
"893","NTN1"
"894","NTN1"
"895","NTN1"
"896","NTN1"
"897","NTN1"
"898","NTN1"
"899","CXCL14"
"900","CXCL14"
"901","CXCL14"
"902","CXCL14"
"903","CXCL14"
"904","CXCL14"
"905","CXCL14"
"906","CXCL14"
"907","CXCL14"
"908","CXCL14"
"909","CXCL14"
"910","CXCL14"
"911","CXCL14"
"912","CXCL14"
"913","CXCL14"
"914","CXCL14"
"915","CXCL14"
"916","CXCL14"
"917","CRTAM"
"918","FGF19"
"919","FGF19"
"920","FGF19"
"921","FGF19"
"922","FGF19"
"923","FGF19"
"924","FGF19"
"925","FGF19"
"926","FGF19"
"927","FGF19"
"928","FGF19"
"929","FGF19"
"930","FGF19"
"931","FGF19"
"932","FGF19"
"933","FGF19"
"934","IL33"
"935","IL33"
"936","IL33"
"937","IL33"
"938","CER1"
"939","CER1"
"940","CER1"
"941","CER1"
"942","CER1"
"943","CLDN1"
"944","ANGPTL1"
"945","ANGPTL1"
"946","ANGPTL1"
"947","ANGPTL1"
"948","OLFM2"
"949","EFEMP2"
"950","LGI1"
"951","LGI1"
"952","LGI1"
"953","CD160"
"954","CD160"
"955","BMP15"
"956","BMP15"
"957","BMP15"
"958","BMP15"
"959","BMP15"
"960","BMP15"
"961","BMP15"
"962","BMP15"
"963","BMP15"
"964","IL18BP"
"965","IL18BP"
"966","IL18BP"
"967","IL18BP"
"968","WNT11"
"969","WNT11"
"970","WNT11"
"971","WNT11"
"972","WNT11"
"973","WNT11"
"974","WNT11"
"975","WNT11"
"976","WNT11"
"977","WNT11"
"978","WNT11"
"979","WNT11"
"980","WNT11"
"981","WNT11"
"982","WNT11"
"983","WNT11"
"984","WNT11"
"985","WNT11"
"986","WNT11"
"987","CP"
"988","CP"
"989","HP"
"990","HP"
"991","HP"
"992","HP"
"993","HP"
"994","HP"
"995","HP"
"996","HP"
"997","PLG"
"998","PLG"
"999","PLG"
"1000","PLG"
"1001","PLG"
"1002","PLG"
"1003","PLG"
"1004","PLG"
"1005","PLG"
"1006","PLG"
"1007","PLG"
"1008","PLG"
"1009","PLG"
"1010","PLG"
"1011","PLG"
"1012","PLG"
"1013","PLG"
"1014","PLG"
"1015","PLG"
"1016","PLG"
"1017","PLG"
"1018","PLG"
"1019","PLG"
"1020","PLG"
"1021","AGT"
"1022","AGT"
"1023","AGT"
"1024","AGT"
"1025","AGT"
"1026","AGT"
"1027","AGT"
"1028","AGT"
"1029","AGT"
"1030","AGT"
"1031","AGT"
"1032","AGT"
"1033","AGT"
"1034","AGT"
"1035","AGT"
"1036","AGT"
"1037","AGT"
"1038","AGT"
"1039","AGT"
"1040","AGT"
"1041","AGT"
"1042","AGT"
"1043","AGT"
"1044","AGT"
"1045","AGT"
"1046","AGT"
"1047","AGT"
"1048","AGT"
"1049","AGT"
"1050","AGT"
"1051","AGT"
"1052","AGT"
"1053","AGT"
"1054","AGT"
"1055","AGT"
"1056","AGT"
"1057","AGT"
"1058","AGT"
"1059","KNG1"
"1060","KNG1"
"1061","KNG1"
"1062","KNG1"
"1063","KNG1"
"1064","KNG1"
"1065","KNG1"
"1066","KNG1"
"1067","KNG1"
"1068","KNG1"
"1069","KNG1"
"1070","KNG1"
"1071","KNG1"
"1072","KNG1"
"1073","KNG1"
"1074","KNG1"
"1075","KNG1"
"1076","KNG1"
"1077","KNG1"
"1078","KNG1"
"1079","PDGFB"
"1080","PDGFB"
"1081","PDGFB"
"1082","PDGFB"
"1083","PDGFB"
"1084","PDGFB"
"1085","PDGFB"
"1086","PDGFB"
"1087","PDGFB"
"1088","PDGFB"
"1089","PDGFB"
"1090","PDGFB"
"1091","PDGFB"
"1092","PDGFB"
"1093","PDGFB"
"1094","PDGFB"
"1095","PDGFB"
"1096","PDGFB"
"1097","PDGFB"
"1098","PDGFB"
"1099","PDGFB"
"1100","PDGFB"
"1101","PDGFB"
"1102","PDGFB"
"1103","PDGFB"
"1104","PDGFB"
"1105","PDGFB"
"1106","PDGFB"
"1107","PDGFB"
"1108","PDGFB"
"1109","PDGFB"
"1110","PDGFB"
"1111","PDGFB"
"1112","PDGFB"
"1113","PDGFB"
"1114","PDGFB"
"1115","PDGFB"
"1116","PDGFB"
"1117","EGF"
"1118","EGF"
"1119","EGF"
"1120","EGF"
"1121","EGF"
"1122","EGF"
"1123","EGF"
"1124","EGF"
"1125","EGF"
"1126","EGF"
"1127","EGF"
"1128","EGF"
"1129","EGF"
"1130","EGF"
"1131","EGF"
"1132","EGF"
"1133","EGF"
"1134","EGF"
"1135","EGF"
"1136","EGF"
"1137","EGF"
"1138","EGF"
