receptor,tf
BIRC2,MYOD1
BIRC2,NFATC1
BIRC2,NFKB1
BIRC2,PLAG1
BIRC2,RELA
BIRC2,RUNX2
BIRC2,SMAD1
BIRC2,SMAD3
BIRC2,SMAD4
BIRC2,SMAD5
BIRC2,SMAD9
BIRC2,SOX4
BIRC2,SOX6
BIRC2,SP1
BIRC2,SP3
BIRC2,TFAP2B
BIRC2,TFAP2C
BIRC2,TP53
BIRC2,TRPS1
BIRC2,ZHX1
BIRC3,ARNT
BIRC3,ARNTL
BIRC3,CEBPA
BIRC3,ETV5
BIRC3,FOS
BIRC3,FOXL2
BIRC3,GATA1
BIRC3,HSF2
BIRC3,IRF5
BIRC3,IRF7
BIRC3,JUN
BIRC3,MITF
BIRC3,MYB
BIRC3,NFATC1
BIRC3,NFKB1
BIRC3,PLAG1
BIRC3,RELA
BIRC3,RUNX2
BIRC3,SMAD1
BIRC3,SMAD3
BIRC3,SMAD4
BIRC3,SMAD5
BIRC3,SMAD9
BIRC3,SOX4
BIRC3,SOX6
BIRC3,SP3
BIRC3,TFAP2B
BIRC3,TFAP2C
BIRC3,TP53
BIRC3,TRPS1
BIRC3,ZHX1
BIRC5,ATF2
BIRC5,E2F1
BIRC5,E2F2
BIRC5,E2F3
BIRC5,HIF1A
BIRC5,JUN
BIRC5,MEF2A
BIRC5,MEF2C
BIRC5,MYC
BIRC5,MYOD1
BIRC5,RUNX3
BIRC5,SP1
BIRC5,SP3
BIRC5,SPI1
BIRC5,TBP
BIRC5,TFDP1
BIRC5,TP53
BIRC5,YY1
BLK,ELK1
BLK,IKZF3
BLK,JUN
BLK,NFKB1
BLK,SMAD3
BLK,TP53
BMPR1A_BMPR1B_BMPR2,SMAD1
BMPR1A,HOXC8
BMPR1A,SMAD1
BMPR1A,SMAD4
BMPR1A,SMAD5
BMPR1A,SMAD9
BMPR1B,ARNTL
BMPR1B,ATF1
BMPR1B,ATF2
BMPR1B,CREB1
BMPR1B,CREM
BMPR1B,DLX5
BMPR1B,E2F1
BMPR1B,E2F2
BMPR1B,E2F3
BMPR1B,E2F4
BMPR1B,E2F5
BMPR1B,EGR1
BMPR1B,ELF1
BMPR1B,ELK1
BMPR1B,FOXA2
BMPR1B,FOXG1
BMPR1B,FOXO1
BMPR1B,FOXO3
BMPR1B,FOXO4
BMPR1B,FOXO6
BMPR1B,GABPA
BMPR1B,GATA1
BMPR1B,GATA2
BMPR1B,GCM1
BMPR1B,GLI1
BMPR1B,HAND1
BMPR1B,HES5
BMPR1B,HIF1A
BMPR1B,HIF3A
BMPR1B,HMGA1
BMPR1B,HNF1A
BMPR1B,HOXB6
BMPR1B,HOXC8
BMPR1B,IRF3
BMPR1B,IRF5
BMPR1B,IRF7
BMPR1B,JUN
BMPR1B,LEF1
BMPR1B,MAX
BMPR1B,MITF
BMPR1B,MXD1
BMPR1B,MYB
BMPR1B,MYBL2
BMPR1B,MYC
BMPR1B,MYOD1
BMPR1B,MYT1
BMPR1B,NFATC1
BMPR1B,NFATC2
BMPR1B,NFATC3
BMPR1B,NFKB1
BMPR1B,NFKB2
BMPR1B,NKX3-1
