,group,names,scores,logfoldchanges,pvals,pvals_adj,Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
251,MSC,GLI3,-3.9155602,2.868931,9.01944943577833e-05,0.0323798234744442,ZFX,7.57199047515652e-05,0.967614561895868,1.0,0.95,0.0271834458058119,Megakaryocyte,ZFX
252,MSC,CREM,-3.9177153,2.1638255,8.939220619614764e-05,0.032091802024417,SIX52,7.97767862948184e-05,0.593672855577995,1.0,0.959,0.0286398662798398,Megakaryocyte,SIX5
253,MSC,KLF8,-4.0836473,0.4970098,4.433434235112428e-05,0.0159160289040536,HOXA102,0.0001856647995255,1.22602673911397,0.971,0.941,0.0666536630296817,Megakaryocyte,HOXA10
254,MSC,EHF,-4.0965767,1.1487315,4.193043228628793e-05,0.0150530251907773,DNMT11,0.0004307896018797,0.832955091032868,0.912,0.792,0.154653467074841,Megakaryocyte,DNMT1
255,MSC,PKNOX1,-4.9714904,0.8863955,6.644023500721816e-07,0.0002385204436759,SPI1,0.0004348646447127,0.441814486564428,0.824,0.566,0.156116407451886,Megakaryocyte,SPI1
256,MSC,LYL1,-4.98011,0.7900424,6.35481420775853e-07,0.0002281378300585,GFI11,0.0004644134116312,0.396091765060761,0.059,0.095,0.166724414775625,Megakaryocyte,GFI1
257,MSC,SREBF2,-5.178366,1.290294,2.238375005470486e-07,8.035766269639044e-05,BCL11A1,0.0005391298083636,0.441630040571846,0.971,0.778,0.193547601202543,Megakaryocyte,BCL11A
258,MSC,ZNF274,-5.23224,0.7019635,1.674679418898616e-07,6.012099113846031e-05,HIC11,0.0012347190312766,0.0256728039480412,1.0,0.968,0.443264132228307,Megakaryocyte,HIC1
259,MSC,SPDEF,-5.288269,1.0157149,1.2347921516858486e-07,4.4329038245521965e-05,ZBTB161,0.0013706373767058,0.87460341249274,0.882,0.538,0.49205881823739,Megakaryocyte,ZBTB16
260,MSC,GFI1,-5.7515855,0.10859954,8.841046098994154e-09,3.1739355495389013e-06,VDR2,0.0025199813100099,0.0228757372788158,1.0,0.923,0.904673290293557,Megakaryocyte,VDR
261,MSC,SOX4,-6.2019715,0.1469442,5.57601086013379e-10,2.0017878987880305e-07,BCL6,0.0065043154233565,1.7850971234278,0.706,0.412,1.0,Megakaryocyte,BCL6
262,MSC,E2F3,-6.671753,0.81550455,2.527661961868592e-11,9.074306443108244e-09,USF21,0.0087593962577636,0.0666475267174325,0.941,0.756,1.0,Megakaryocyte,USF2
263,MSC,HES1,-6.7708807,1.2361045,1.2800066743804204e-11,4.595223961025709e-09,SPI11,0.0003265734778206,4.15984391905718,0.857,0.593,0.117239878537613,Myeloid,SPI1
264,MSC,PIN1,-6.9001784,1.724915,5.19372822711742e-12,1.8645484335351536e-09,RARG1,0.0004567497088842,2.95965925027099,1.0,0.48,0.163973145489441,Myeloid,RARG
265,MSC,CDX1,-7.6242447,0.8154837,2.454676074433916e-14,8.812287107217757e-12,RARB1,0.0012627408179111,1.2955123977274,1.0,0.46,0.45332395363009,Myeloid,RARB
266,MSC,KLF2,-7.706133,0.48628336,1.2968747057444626e-14,4.6557801936226195e-12,MYB2,0.0016827164889019,2.58640429696416,1.0,0.524,0.604095219515809,Myeloid,MYB
267,MSC,FOXP3,-8.777147,1.3419499,1.6767293046818768e-18,6.019458203807938e-16,CEBPA2,0.0026016024485233,1.66195942220143,1.0,0.464,0.933975279019881,Myeloid,CEBPA
268,Fibroblast,ZBTB16,5.884485,1.7887774,3.992958076763334e-09,1.4334719495580369e-06,CEBPE,0.0066260457631091,7.0962917179891,0.857,0.242,1.0,Myeloid,CEBPE
269,Fibroblast,PAX6,5.694536,2.4554806,1.2370760642953412e-08,4.441103070820275e-06,BCL61,0.0091618810033657,2.94824085645685,0.714,0.444,1.0,Myeloid,BCL6
