,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
217,Neural,Neural,ERBB2,TAL1,Receptor,Transcription Factor,0.077806304341641
218,Neural,Neural,INSR,TAL1,Receptor,Transcription Factor,0.077806304341641
219,Neural,Neural,ITGB1,TAL1,Receptor,Transcription Factor,0.077806304341641
220,Neural,Neural,NTRK2,TAL1,Receptor,Transcription Factor,0.077806304341641
221,Neural,Neural,PDGFRB,TAL1,Receptor,Transcription Factor,0.077806304341641
222,Neural,Neural,PTPRF,TAL1,Receptor,Transcription Factor,0.077806304341641
223,Neural,Neural,TGFBR2,TAL1,Receptor,Transcription Factor,0.077806304341641
224,Neural,Neural,INSR,TBP,Receptor,Transcription Factor,0.140890326370986
225,Neural,Neural,MYLK,TBP,Receptor,Transcription Factor,0.140890326370986
270,Neural,Neural,INSR,ZBTB16,Receptor,Transcription Factor,0.0186042343134181
271,Neural,Neural,ITGB1,ZBTB16,Receptor,Transcription Factor,0.0186042343134181
272,Neural,Neural,PDGFRB,ZBTB16,Receptor,Transcription Factor,0.0186042343134181
273,Neural,Neural,PTPRF,ZBTB16,Receptor,Transcription Factor,0.0186042343134181
274,Neural,Neural,INSR,ZNF24,Receptor,Transcription Factor,0.254456463475921
275,Neural,Neural,NGFR,ZNF274,Receptor,Transcription Factor,0.721754049438322
285,MSC,MSC,ERBB2,HSF1,Receptor,Transcription Factor,0.37256808050774
286,MSC,MSC,ITGB1,HSF1,Receptor,Transcription Factor,0.37256808050774
287,MSC,MSC,PTPRF,HSF1,Receptor,Transcription Factor,0.37256808050774
401,Fibroblast,Fibroblast,FZD5,SNAI1,Receptor,Transcription Factor,0.131880344912617
402,Fibroblast,Fibroblast,ITGB1,SNAI1,Receptor,Transcription Factor,0.131880344912617
403,Fibroblast,Fibroblast,PTPRF,SNAI1,Receptor,Transcription Factor,0.131880344912617
448,Fibroblast,Fibroblast,INSR,TFDP1,Receptor,Transcription Factor,0.112131717653289
467,Fibroblast,Fibroblast,ITGB1,ZC3H8,Receptor,Transcription Factor,0.0179606768816877
468,Fibroblast,Fibroblast,PTPRF,ZC3H8,Receptor,Transcription Factor,0.0179606768816877
476,Megakaryocyte,Megakaryocyte,ITGB1,CEBPD,Receptor,Transcription Factor,0.0896114190764143
477,Megakaryocyte,Megakaryocyte,PTPRF,CEBPD,Receptor,Transcription Factor,0.0896114190764143
478,Megakaryocyte,Megakaryocyte,TGFBR2,CEBPD,Receptor,Transcription Factor,0.0896114190764143
479,Megakaryocyte,Megakaryocyte,ITGB1,CREB3,Receptor,Transcription Factor,0.191350059196869
480,Megakaryocyte,Megakaryocyte,PTPRF,CREB3,Receptor,Transcription Factor,0.191350059196869
481,Megakaryocyte,Megakaryocyte,ITGB1,FOSB,Receptor,Transcription Factor,0.224865351586158
482,Megakaryocyte,Megakaryocyte,PTPRF,FOSB,Receptor,Transcription Factor,0.224865351586158
492,Megakaryocyte,Megakaryocyte,FZD5,HIF1A,Receptor,Transcription Factor,0.0232183630732782
493,Megakaryocyte,Megakaryocyte,ITGB1,HIF1A,Receptor,Transcription Factor,0.0232183630732782
494,Megakaryocyte,Megakaryocyte,PTPRF,HIF1A,Receptor,Transcription Factor,0.0232183630732782
495,Megakaryocyte,Megakaryocyte,TGFBR2,HIF1A,Receptor,Transcription Factor,0.0232183630732782
496,Megakaryocyte,Megakaryocyte,INSR,JUND,Receptor,Transcription Factor,0.639596851839936
499,Megakaryocyte,Megakaryocyte,FZD5,MAX,Receptor,Transcription Factor,0.466457521433722
500,Megakaryocyte,Megakaryocyte,ITGB1,MAX,Receptor,Transcription Factor,0.466457521433722
501,Megakaryocyte,Megakaryocyte,PTPRF,MAX,Receptor,Transcription Factor,0.466457521433722
509,Megakaryocyte,Megakaryocyte,ERBB2,NEUROD1,Receptor,Transcription Factor,0.50264444055569
510,Megakaryocyte,Megakaryocyte,ERBB2,NRF1,Receptor,Transcription Factor,0.33544838335038
511,Megakaryocyte,Megakaryocyte,INSR,NRF1,Receptor,Transcription Factor,0.33544838335038
512,Megakaryocyte,Megakaryocyte,ITGB1,NRF1,Receptor,Transcription Factor,0.33544838335038
513,Megakaryocyte,Megakaryocyte,NTRK2,NRF1,Receptor,Transcription Factor,0.33544838335038
514,Megakaryocyte,Megakaryocyte,PDGFRB,NRF1,Receptor,Transcription Factor,0.33544838335038
515,Megakaryocyte,Megakaryocyte,PTPRF,NRF1,Receptor,Transcription Factor,0.33544838335038
516,Megakaryocyte,Megakaryocyte,TGFBR2,NRF1,Receptor,Transcription Factor,0.33544838335038
522,Megakaryocyte,Megakaryocyte,CD40,SMAD1,Receptor,Transcription Factor,0.507363926602169
523,Megakaryocyte,Megakaryocyte,ERBB2,SMAD1,Receptor,Transcription Factor,0.507363926602169
524,Megakaryocyte,Megakaryocyte,FGFR1,SMAD1,Receptor,Transcription Factor,0.507363926602169
525,Megakaryocyte,Megakaryocyte,INSR,SMAD1,Receptor,Transcription Factor,0.507363926602169
526,Megakaryocyte,Megakaryocyte,ITGB1,SMAD1,Receptor,Transcription Factor,0.507363926602169
527,Megakaryocyte,Megakaryocyte,LPP,SMAD1,Receptor,Transcription Factor,0.507363926602169
528,Megakaryocyte,Megakaryocyte,PDGFRB,SMAD1,Receptor,Transcription Factor,0.507363926602169
529,Megakaryocyte,Megakaryocyte,PTPRF,SMAD1,Receptor,Transcription Factor,0.507363926602169
530,Megakaryocyte,Megakaryocyte,TGFBR2,SMAD1,Receptor,Transcription Factor,0.507363926602169
531,Megakaryocyte,Megakaryocyte,TNFRSF14,SMAD1,Receptor,Transcription Factor,0.507363926602169
549,Megakaryocyte,Megakaryocyte,ITGB1,SRF,Receptor,Transcription Factor,0.663874826123318
550,Megakaryocyte,Megakaryocyte,PTPRF,SRF,Receptor,Transcription Factor,0.663874826123318
554,Megakaryocyte,Megakaryocyte,ERBB2,TAL1,Receptor,Transcription Factor,0.209744789348168
555,Megakaryocyte,Megakaryocyte,INSR,TAL1,Receptor,Transcription Factor,0.209744789348168
556,Megakaryocyte,Megakaryocyte,ITGB1,TAL1,Receptor,Transcription Factor,0.209744789348168
557,Megakaryocyte,Megakaryocyte,NTRK2,TAL1,Receptor,Transcription Factor,0.209744789348168
558,Megakaryocyte,Megakaryocyte,PDGFRB,TAL1,Receptor,Transcription Factor,0.209744789348168
559,Megakaryocyte,Megakaryocyte,PTPRF,TAL1,Receptor,Transcription Factor,0.209744789348168
560,Megakaryocyte,Megakaryocyte,TGFBR2,TAL1,Receptor,Transcription Factor,0.209744789348168
561,Megakaryocyte,Megakaryocyte,INSR,TBP,Receptor,Transcription Factor,0.169369329299287
562,Megakaryocyte,Megakaryocyte,MYLK,TBP,Receptor,Transcription Factor,0.169369329299287
565,Megakaryocyte,Megakaryocyte,INSR,TFDP1,Receptor,Transcription Factor,0.105942980385135
570,Megakaryocyte,Megakaryocyte,ITGB1,ZHX1,Receptor,Transcription Factor,0.0157849720505998
571,Megakaryocyte,Megakaryocyte,PTPRF,ZHX1,Receptor,Transcription Factor,0.0157849720505998
572,Megakaryocyte,Megakaryocyte,INSR,ZNF24,Receptor,Transcription Factor,0.080985872475867
573,Neural,Neural,ADNP,GDF15,Transcription Factor,Ligand,0.33778112719094
574,Neural,Neural,ADNP,VCL,Transcription Factor,Ligand,0.33778112719094
576,Neural,Neural,ATF1,ANXA1,Transcription Factor,Ligand,0.523724693304253
577,Neural,Neural,ATF1,COPA,Transcription Factor,Ligand,0.523724693304253
578,Neural,Neural,ATF1,GDF15,Transcription Factor,Ligand,0.523724693304253
579,Neural,Neural,ATF1,HLA-G,Transcription Factor,Ligand,0.523724693304253
580,Neural,Neural,ATF7,GDF15,Transcription Factor,Ligand,0.485058303832451
581,Neural,Neural,ATF7,VCL,Transcription Factor,Ligand,0.485058303832451
583,Neural,Neural,BHLHE40,GDF15,Transcription Factor,Ligand,0.290262124940275
585,Neural,Neural,CEBPA,TF,Transcription Factor,Ligand,0.118458943086872
586,Neural,Neural,CEBPA,ANXA1,Transcription Factor,Ligand,0.118458943086872
587,Neural,Neural,CEBPA,CXCL8,Transcription Factor,Ligand,0.118458943086872
588,Neural,Neural,CEBPA,S100A9,Transcription Factor,Ligand,0.118458943086872
589,Neural,Neural,CEBPA,CXCL12,Transcription Factor,Ligand,0.118458943086872
590,Neural,Neural,CEBPA,MIF,Transcription Factor,Ligand,0.118458943086872
591,Neural,Neural,CEBPA,ACTR2,Transcription Factor,Ligand,0.118458943086872
592,Neural,Neural,CEBPA,ADM,Transcription Factor,Ligand,0.118458943086872
593,Neural,Neural,CEBPA,APOE,Transcription Factor,Ligand,0.118458943086872
594,Neural,Neural,CEBPA,ARF6,Transcription Factor,Ligand,0.118458943086872
595,Neural,Neural,CEBPA,ARPC5,Transcription Factor,Ligand,0.118458943086872
596,Neural,Neural,CEBPA,BAG6,Transcription Factor,Ligand,0.118458943086872
597,Neural,Neural,CEBPA,CD59,Transcription Factor,Ligand,0.118458943086872
598,Neural,Neural,CEBPA,COPA,Transcription Factor,Ligand,0.118458943086872
599,Neural,Neural,CEBPA,CXCL2,Transcription Factor,Ligand,0.118458943086872
600,Neural,Neural,CEBPA,EFNB1,Transcription Factor,Ligand,0.118458943086872
601,Neural,Neural,CEBPA,GDF15,Transcription Factor,Ligand,0.118458943086872
602,Neural,Neural,CEBPA,HSPA8,Transcription Factor,Ligand,0.118458943086872
603,Neural,Neural,CEBPA,LGALS3,Transcription Factor,Ligand,0.118458943086872
604,Neural,Neural,CEBPA,PGF,Transcription Factor,Ligand,0.118458943086872
605,Neural,Neural,CEBPA,SEMA7A,Transcription Factor,Ligand,0.118458943086872
606,Neural,Neural,CEBPA,SNCA,Transcription Factor,Ligand,0.118458943086872
607,Neural,Neural,CEBPA,TLN1,Transcription Factor,Ligand,0.118458943086872
608,Neural,Neural,CEBPA,TNFSF13B,Transcription Factor,Ligand,0.118458943086872
609,Neural,Neural,CEBPA,VCL,Transcription Factor,Ligand,0.118458943086872
610,Neural,Neural,CEBPD,TF,Transcription Factor,Ligand,0.319643047457005
611,Neural,Neural,CEBPD,ANXA1,Transcription Factor,Ligand,0.319643047457005
612,Neural,Neural,CEBPD,GDF15,Transcription Factor,Ligand,0.319643047457005
613,Neural,Neural,CEBPD,VCL,Transcription Factor,Ligand,0.319643047457005
616,Neural,Neural,CREB3,ACTR2,Transcription Factor,Ligand,0.458791523881572
617,Neural,Neural,CREB3,GDF15,Transcription Factor,Ligand,0.458791523881572
618,Neural,Neural,CREB3,LGALS3,Transcription Factor,Ligand,0.458791523881572
619,Neural,Neural,CTCF,HLA-DQA1,Transcription Factor,Ligand,0.163025087889078
620,Neural,Neural,CTCF,ACTR2,Transcription Factor,Ligand,0.163025087889078
621,Neural,Neural,CTCF,ADM,Transcription Factor,Ligand,0.163025087889078
622,Neural,Neural,CTCF,ANXA1,Transcription Factor,Ligand,0.163025087889078
623,Neural,Neural,CTCF,APOE,Transcription Factor,Ligand,0.163025087889078
624,Neural,Neural,CTCF,ARF6,Transcription Factor,Ligand,0.163025087889078
625,Neural,Neural,CTCF,ARPC5,Transcription Factor,Ligand,0.163025087889078
626,Neural,Neural,CTCF,CALR,Transcription Factor,Ligand,0.163025087889078
627,Neural,Neural,CTCF,CD59,Transcription Factor,Ligand,0.163025087889078
628,Neural,Neural,CTCF,CLEC11A,Transcription Factor,Ligand,0.163025087889078
629,Neural,Neural,CTCF,COL6A3,Transcription Factor,Ligand,0.163025087889078
630,Neural,Neural,CTCF,COPA,Transcription Factor,Ligand,0.163025087889078
631,Neural,Neural,CTCF,CXCL12,Transcription Factor,Ligand,0.163025087889078
632,Neural,Neural,CTCF,CXCL8,Transcription Factor,Ligand,0.163025087889078
633,Neural,Neural,CTCF,EFNB1,Transcription Factor,Ligand,0.163025087889078
634,Neural,Neural,CTCF,FGF7,Transcription Factor,Ligand,0.163025087889078
635,Neural,Neural,CTCF,GDF15,Transcription Factor,Ligand,0.163025087889078
636,Neural,Neural,CTCF,HLA-DRA,Transcription Factor,Ligand,0.163025087889078
637,Neural,Neural,CTCF,HLA-DRB1,Transcription Factor,Ligand,0.163025087889078
638,Neural,Neural,CTCF,HLA-G,Transcription Factor,Ligand,0.163025087889078
639,Neural,Neural,CTCF,IL16,Transcription Factor,Ligand,0.163025087889078
640,Neural,Neural,CTCF,LGALS1,Transcription Factor,Ligand,0.163025087889078
641,Neural,Neural,CTCF,LGALS3,Transcription Factor,Ligand,0.163025087889078
642,Neural,Neural,CTCF,LGALS9,Transcription Factor,Ligand,0.163025087889078
643,Neural,Neural,CTCF,LTBP3,Transcription Factor,Ligand,0.163025087889078
644,Neural,Neural,CTCF,MIF,Transcription Factor,Ligand,0.163025087889078
645,Neural,Neural,CTCF,MYL9,Transcription Factor,Ligand,0.163025087889078
646,Neural,Neural,CTCF,NMU,Transcription Factor,Ligand,0.163025087889078
647,Neural,Neural,CTCF,PF4,Transcription Factor,Ligand,0.163025087889078
648,Neural,Neural,CTCF,PGF,Transcription Factor,Ligand,0.163025087889078
649,Neural,Neural,CTCF,S100A9,Transcription Factor,Ligand,0.163025087889078
650,Neural,Neural,CTCF,SEMA7A,Transcription Factor,Ligand,0.163025087889078
651,Neural,Neural,CTCF,SFRP2,Transcription Factor,Ligand,0.163025087889078
652,Neural,Neural,CTCF,SNCA,Transcription Factor,Ligand,0.163025087889078
653,Neural,Neural,CTCF,TCN1,Transcription Factor,Ligand,0.163025087889078
654,Neural,Neural,CTCF,TF,Transcription Factor,Ligand,0.163025087889078
655,Neural,Neural,CTCF,TLN1,Transcription Factor,Ligand,0.163025087889078
656,Neural,Neural,CTCF,TNFSF13B,Transcription Factor,Ligand,0.163025087889078
657,Neural,Neural,CTCF,VCL,Transcription Factor,Ligand,0.163025087889078
658,Neural,Neural,DDIT3,TF,Transcription Factor,Ligand,0.107687057726354
659,Neural,Neural,DDIT3,CXCL8,Transcription Factor,Ligand,0.107687057726354
662,Neural,Neural,E2F1,CALR,Transcription Factor,Ligand,0.120845758610287
663,Neural,Neural,E2F1,ACTR2,Transcription Factor,Ligand,0.120845758610287
664,Neural,Neural,E2F1,APOE,Transcription Factor,Ligand,0.120845758610287
665,Neural,Neural,E2F1,BAG6,Transcription Factor,Ligand,0.120845758610287
666,Neural,Neural,E2F1,CLEC11A,Transcription Factor,Ligand,0.120845758610287
667,Neural,Neural,E2F1,COL6A3,Transcription Factor,Ligand,0.120845758610287
668,Neural,Neural,E2F1,COPA,Transcription Factor,Ligand,0.120845758610287
669,Neural,Neural,E2F1,GDF15,Transcription Factor,Ligand,0.120845758610287
670,Neural,Neural,E2F1,GPI,Transcription Factor,Ligand,0.120845758610287
671,Neural,Neural,E2F1,IL16,Transcription Factor,Ligand,0.120845758610287
672,Neural,Neural,E2F1,LTBP3,Transcription Factor,Ligand,0.120845758610287
673,Neural,Neural,E2F1,NMU,Transcription Factor,Ligand,0.120845758610287
674,Neural,Neural,E2F1,NPPA,Transcription Factor,Ligand,0.120845758610287
675,Neural,Neural,E2F1,S100A8,Transcription Factor,Ligand,0.120845758610287
690,Neural,Neural,E2F5,GDF15,Transcription Factor,Ligand,0.466030023851771
692,Neural,Neural,EGR1,GDF15,Transcription Factor,Ligand,0.166034959171267
693,Neural,Neural,EGR1,CXCL12,Transcription Factor,Ligand,0.166034959171267
694,Neural,Neural,EGR1,CXCL8,Transcription Factor,Ligand,0.166034959171267
