Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
FOSL1,-0.2380178,1.0,HOXB13,-0.69406897,0.0010951253836603753,HSF1,,1.0,HIF1A,0.06487914,1.0,RELB,0.8093206,1.0
CREB5,-3.4075773,1.0,FOXA1,-0.7111074,0.001183188820746345,RFX1,1.8017169,1.0,WT1,0.05543703,1.0,TERF1,0.14217648,1.0
CXXC4,0.41783386,1.0,MNT,,0.0013501765912650155,GLI3,,1.0,FOXD3,-1.3596559,1.0,ZNF207,-1.4921128,1.0
NANOG,-0.018025635,1.0,FLI1,,0.0015063747473946345,LEF1,0.5033875,1.0,GABPA,0.12841067,1.0,ATF4,-2.4244375,1.0
FOXP2,0.7955494,1.0,IRF4,-1.873979,0.001643657286028696,LHX2,0.46531895,1.0,BHLHE22,0.12198392,1.0,MBD4,,1.0
CEBPA,-0.6312122,1.0,TERF1,-0.54567987,0.0018926412027720748,SRF,-0.9911402,1.0,NR1H2,0.030374158,1.0,NFYB,-1.4242735,1.0
SP3,0.29428023,1.0,POU2F2,-1.5080184,0.0025846548816145683,HOXB13,0.12648426,1.0,CEBPE,,1.0,NCOA2,0.22981784,1.0
RFX5,0.10555603,1.0,LEF1,,0.00336986470052167,TEAD2,-0.42907375,1.0,KDM5B,0.15612341,1.0,EGR2,-1.8412642,1.0
NR5A2,-0.14359021,1.0,GLYR1,-1.7248484,0.0037438531322549384,TEAD1,0.2490968,1.0,BACH1,0.13964462,1.0,NR5A2,0.3166945,1.0
SMAD1,0.14418145,1.0,NCOA2,-1.010424,0.004566324031331085,CREM,0.81478983,1.0,SP1,-0.18081824,1.0,BCL6,1.3376813,1.0
IRF8,2.144341,1.0,PRDM1,,0.004711006249666694,DEAF1,-0.60162455,1.0,RELA,-0.9564293,1.0,MEF2B,1.3688977,1.0
CLOCK,-0.09560443,1.0,PAX5,,0.00501359678272127,HHEX,,1.0,REST,1.1326799,1.0,HINFP,,1.0
LYL1,-0.16746704,1.0,MYB,,0.005853281210859913,RBPJ,0.53472114,1.0,MAZ,-0.7213625,1.0,KLF4,0.67464197,1.0
ZNF143,-0.19831102,1.0,ZNF175,,0.007038170945314003,BCL6,0.9286635,1.0,TCF12,0.31638622,1.0,MBD3,1.1133912,1.0
PCGF2,-0.09306583,1.0,SNAPC4,,0.008709282822848587,RARB,-0.90073544,1.0,E2F4,0.01339608,1.0,NFYA,-1.719104,1.0
