Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
ZNF274,-0.78152466,0.0001571561775234272,ARID2,2.213653,0.007256992391482955,TP63,-0.23675959,1.0,ESR2,-0.33008832,1.0,HSF2,-4.236157,1.0
ZNF766,-1.010764,0.00019181471443635852,ETS2,4.717295,0.007838094218372336,ARNT,-0.38487607,1.0,ZHX2,-0.1307437,1.0,ZNF83,0.0706255,1.0
IRF3,,0.00024449239760483644,SP3,2.5564117,0.009953075174544255,SNAI1,2.639521,1.0,FOXD3,-1.442489,1.0,ZHX1,0.5697406,1.0
CEBPA,,0.0005998720900946984,SMAD1,1.5123326,0.01811579230012099,KDM5B,0.6569155,1.0,HOXA9,0.17663106,1.0,TERF2,-0.25687027,1.0
FLI1,-2.1963396,0.0007189161701924841,ETV6,1.8317575,0.01828347730755844,ATF3,-0.5784225,1.0,SMAD1,-0.1932479,1.0,GTF2B,-0.29029146,1.0
ZNF750,-1.0881444,0.0007634156583369063,NR1I2,2.321536,0.020601684484361348,HNF1B,-0.107522264,1.0,ZNF217,1.3209971,1.0,HOXB7,,1.0
POU5F1,-1.2660073,0.0008175122394248219,KLF1,1.7148927,0.02098214407706829,GATA6,-0.113161705,1.0,THAP1,0.35929015,1.0,KLF5,0.053302426,1.0
KLF3,,0.0015265099303946633,CDX2,,0.02098214407706829,NCOA3,-0.10393849,1.0,KLF8,0.0636219,1.0,LEF1,-3.0555792,1.0
KLF4,3.244023,0.00269379820878604,CREB3,,0.033856927778532844,STAT3,-0.7726131,1.0,CEBPD,-0.43977228,1.0,PKNOX1,-0.025290424,1.0
XBP1,-0.4146742,0.0031676889281207978,PRDM1,,0.036032072575688794,TFCP2,1.5269516,1.0,HMGN3,-0.21116196,1.0,SNAPC4,-6.8436594,1.0
ONECUT1,-2.9513385,0.0034060289260725574,YY1,1.7019671,0.08784866094186458,WT1,0.35195795,1.0,NR1I2,-1.7527434,1.0,NFAT5,-0.2375894,1.0
