,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
417,Fibroblast,Fibroblast,RXRA,ALCAM,Transcription Factor,Ligand,0.319941726996199
418,Fibroblast,Fibroblast,RXRA,ANXA2,Transcription Factor,Ligand,0.319941726996199
419,Fibroblast,Fibroblast,RXRA,CIRBP,Transcription Factor,Ligand,0.319941726996199
420,Fibroblast,Fibroblast,CD40,SMAD1,Receptor,Transcription Factor,0.276883499241465
421,Fibroblast,Fibroblast,FGFR1,SMAD1,Receptor,Transcription Factor,0.276883499241465
422,Fibroblast,Fibroblast,INSR,SMAD1,Receptor,Transcription Factor,0.276883499241465
423,Fibroblast,Fibroblast,ITGB1,SMAD1,Receptor,Transcription Factor,0.276883499241465
424,Fibroblast,Fibroblast,LPP,SMAD1,Receptor,Transcription Factor,0.276883499241465
425,Fibroblast,Fibroblast,PDGFRB,SMAD1,Receptor,Transcription Factor,0.276883499241465
426,Fibroblast,Fibroblast,PTPRF,SMAD1,Receptor,Transcription Factor,0.276883499241465
427,Fibroblast,Fibroblast,TGFBR1,SMAD1,Receptor,Transcription Factor,0.276883499241465
428,Fibroblast,Fibroblast,TNFRSF14,SMAD1,Receptor,Transcription Factor,0.276883499241465
429,Fibroblast,Fibroblast,AXL,SMAD3,Receptor,Transcription Factor,0.119462849483634
430,Fibroblast,Fibroblast,DIP2A,SMAD3,Receptor,Transcription Factor,0.119462849483634
431,Fibroblast,Fibroblast,FGFR1,SMAD3,Receptor,Transcription Factor,0.119462849483634
432,Fibroblast,Fibroblast,FZD5,SMAD3,Receptor,Transcription Factor,0.119462849483634
433,Fibroblast,Fibroblast,INSR,SMAD3,Receptor,Transcription Factor,0.119462849483634
434,Fibroblast,Fibroblast,ITGA5,SMAD3,Receptor,Transcription Factor,0.119462849483634
435,Fibroblast,Fibroblast,ITGB1,SMAD3,Receptor,Transcription Factor,0.119462849483634
436,Fibroblast,Fibroblast,LPP,SMAD3,Receptor,Transcription Factor,0.119462849483634
437,Fibroblast,Fibroblast,LRP6,SMAD3,Receptor,Transcription Factor,0.119462849483634
438,Fibroblast,Fibroblast,MET,SMAD3,Receptor,Transcription Factor,0.119462849483634
439,Fibroblast,Fibroblast,NTRK2,SMAD3,Receptor,Transcription Factor,0.119462849483634
440,Fibroblast,Fibroblast,PDGFRB,SMAD3,Receptor,Transcription Factor,0.119462849483634
441,Fibroblast,Fibroblast,PTPRF,SMAD3,Receptor,Transcription Factor,0.119462849483634
