"","gene","tag","cluster","z_score"
"Fibroblast.XBP1","XBP1","*","Fibroblast",-0.38197868437461
"Fibroblast.YBX1","YBX1","*","Fibroblast",-0.514644875191887
"Fibroblast.ZC3H8","ZC3H8","*","Fibroblast",0.0179606768816877
"Fibroblast.ZNF165","ZNF165","***","Fibroblast",-0.551181829928688
"Fibroblast.ZNF197","ZNF197","**","Fibroblast",-0.0881670661926296
"Fibroblast.ZNF217","ZNF217","**","Fibroblast",-0.285901177439558
"Fibroblast.ZNF274","ZNF274","*","Fibroblast",-0.202296135462967
"Fibroblast.ZNF639","ZNF639","*","Fibroblast",0.151582539330159
"Fibroblast.ZNF750","ZNF750","**","Fibroblast",-0.456056008574896
"Fibroblast.ZNF92","ZNF92","**","Fibroblast",-0.18406992954346
"Fibroblast.ZZZ3","ZZZ3","*","Fibroblast",0.0258580749487968
"Megakaryocyte.ARNT","ARNT","*","Megakaryocyte",-0.330595700626252
"Megakaryocyte.ATF1","ATF1","*","Megakaryocyte",-0.45662639385391
"Megakaryocyte.ATF3","ATF3","*","Megakaryocyte",0.147391876056098
"Megakaryocyte.BACH1","BACH1","**","Megakaryocyte",0.0501979050333618
"Megakaryocyte.BACH2","BACH2","*","Megakaryocyte",0.497002357220955
"Megakaryocyte.BATF","BATF","*","Megakaryocyte",-0.20944799736642
"Megakaryocyte.CEBPD","CEBPD","**","Megakaryocyte",0.0896114190764143
"Megakaryocyte.CREB3","CREB3","***","Megakaryocyte",0.191350059196869
"Megakaryocyte.CREB3L1","CREB3L1","**","Megakaryocyte",0.241162944345361
"Megakaryocyte.DNMT1","DNMT1","*","Megakaryocyte",0.989882627254806
"Megakaryocyte.ELK4","ELK4","***","Megakaryocyte",0.156206546679276
"Megakaryocyte.ESR2","ESR2","**","Megakaryocyte",0.598882751779548
"Megakaryocyte.FLI1","FLI1","*","Megakaryocyte",0.134688377245341
"Megakaryocyte.FOSB","FOSB","**","Megakaryocyte",0.224865351586158
"Megakaryocyte.FOXP1","FOXP1","***","Megakaryocyte",-1.29307199659803
"Megakaryocyte.GATA1","GATA1","***","Megakaryocyte",-0.097261672173703
"Megakaryocyte.GFI1B","GFI1B","*","Megakaryocyte",-0.14904762613374
"Megakaryocyte.GLYR1","GLYR1","**","Megakaryocyte",-1.01874659801648
"Megakaryocyte.HIF1A","HIF1A","*","Megakaryocyte",0.0232183630732782
"Megakaryocyte.HOXA9","HOXA9","*","Megakaryocyte",-0.548659801420679
"Megakaryocyte.HOXB13","HOXB13","**","Megakaryocyte",-1.03578612404899
"Megakaryocyte.IRF1","IRF1","*","Megakaryocyte",-0.199744507982645
"Megakaryocyte.IRF9","IRF9","***","Megakaryocyte",-0.235790375333566
"Megakaryocyte.JUND","JUND","**","Megakaryocyte",0.639596851839936
"Megakaryocyte.KLF1","KLF1","**","Megakaryocyte",-0.490087517812531
"Megakaryocyte.KLF13","KLF13","***","Megakaryocyte",0.620217076582792
"Megakaryocyte.KLF5","KLF5","**","Megakaryocyte",0.88319998066887
"Megakaryocyte.KLF8","KLF8","*","Megakaryocyte",0.0919746138028222
"Megakaryocyte.KMT2B","KMT2B","**","Megakaryocyte",-0.838267393730067
"Megakaryocyte.MAX","MAX","*","Megakaryocyte",0.466457521433722
"Megakaryocyte.MBD4","MBD4","**","Megakaryocyte",-0.647638672090653
"Megakaryocyte.MXI1","MXI1","*","Megakaryocyte",-0.175915637960506
"Megakaryocyte.MYB","MYB","*","Megakaryocyte",-0.236678528519723
"Megakaryocyte.MYNN","MYNN","**","Megakaryocyte",0.193078634027632
"Megakaryocyte.NCOA3","NCOA3","*","Megakaryocyte",-0.575622709922576
"Megakaryocyte.NEUROD1","NEUROD1","***","Megakaryocyte",0.50264444055569
"Megakaryocyte.NFAT5","NFAT5","*","Megakaryocyte",0.688385328942298
"Megakaryocyte.NFE2L1","NFE2L1","*","Megakaryocyte",-0.422168513036228
"Megakaryocyte.NFE2L2","NFE2L2","***","Megakaryocyte",0.0443076069734596
"Megakaryocyte.NFIA","NFIA","***","Megakaryocyte",1.12661309315398
"Megakaryocyte.NME2","NME2","*","Megakaryocyte",-0.792923389482135
"Megakaryocyte.NRF1","NRF1","***","Megakaryocyte",0.33544838335038
"Megakaryocyte.ONECUT1","ONECUT1","**","Megakaryocyte",-0.879805506243966
"Megakaryocyte.OTX2","OTX2","**","Megakaryocyte",-0.832434744117408
"Megakaryocyte.PAX8","PAX8","*","Megakaryocyte",-0.775071266326837
"Megakaryocyte.PDX1","PDX1","*","Megakaryocyte",-0.722547302240708
"Megakaryocyte.POU4F2","POU4F2","**","Megakaryocyte",-0.902373907425677
"Megakaryocyte.REL","REL","***","Megakaryocyte",1.10354326160535
"Megakaryocyte.SETDB1","SETDB1","*","Megakaryocyte",-0.971336590836486
"Megakaryocyte.SMAD1","SMAD1","*","Megakaryocyte",0.507363926602169
"Megakaryocyte.SOX11","SOX11","*","Megakaryocyte",-0.72849005156135
"Megakaryocyte.SOX2","SOX2","*","Megakaryocyte",-0.761951621075478
"Megakaryocyte.SOX9","SOX9","**","Megakaryocyte",0.0294792382761379
"Megakaryocyte.SP1","SP1","**","Megakaryocyte",-0.058954852822733
"Megakaryocyte.SRF","SRF","**","Megakaryocyte",0.663874826123318
"Megakaryocyte.STAT4","STAT4","*","Megakaryocyte",-0.167405133134184
"Megakaryocyte.TAL1","TAL1","*","Megakaryocyte",0.209744789348168
"Megakaryocyte.TBP","TBP","*","Megakaryocyte",0.169369329299287
"Megakaryocyte.TBX21","TBX21","**","Megakaryocyte",-0.0113936469451524
"Megakaryocyte.TFAP2A","TFAP2A","*","Megakaryocyte",-0.177695846965426
"Megakaryocyte.TFDP1","TFDP1","*","Megakaryocyte",0.105942980385135
"Megakaryocyte.USF2","USF2","**","Megakaryocyte",0.39948439017649
"Megakaryocyte.VDR","VDR","**","Megakaryocyte",0.853703655773313
"Megakaryocyte.ZBTB16","ZBTB16","*","Megakaryocyte",-0.134687652823353
"Megakaryocyte.ZBTB2","ZBTB2","*","Megakaryocyte",-0.697545953632478
"Megakaryocyte.ZHX1","ZHX1","*","Megakaryocyte",0.0157849720505998
"Megakaryocyte.ZHX2","ZHX2","*","Megakaryocyte",0.343626726919858
"Megakaryocyte.ZNF165","ZNF165","**","Megakaryocyte",-0.245947559328768
"Megakaryocyte.ZNF24","ZNF24","*","Megakaryocyte",0.080985872475867
"Megakaryocyte.ZNF384","ZNF384","*","Megakaryocyte",-0.211509218788923
"Megakaryocyte.ZNF584","ZNF584","*","Megakaryocyte",0.321850290495958
"Megakaryocyte.ZZZ3","ZZZ3","*","Megakaryocyte",-0.00188015797147552
