"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FOXJ2",7.63633058765828e-05,1.95755026563174,0.741,0.557,0.0274144268096932,"Neural","FOXJ2"
"PRDM1",0.000130482576671041,2.52654028795019,0.491,0.321,0.0468432450249038,"Neural","PRDM1"
"HSF1",0.000151298067478791,0.428869397995815,0.643,0.435,0.0543160062248861,"Neural","HSF1"
"ATF4",0.000195431682233417,1.18210399174028,0.839,0.542,0.0701599739217966,"Neural","ATF4"
"BACH2",0.000196854869817554,0.484277295771192,0.75,0.473,0.0706708982645018,"Neural","BACH2"
"HOXA10",0.00045322434104191,2.06935532300704,1,0.947,0.162707538434046,"Neural","HOXA10"
"ZNF24",0.000567769266841986,1.58878802382549,0.652,0.519,0.203829166796273,"Neural","ZNF24"
"ZNF384",0.000814863392155319,0.657052222208731,0.821,0.588,0.29253595778376,"Neural","ZNF384"
"ZNF589",0.000992053349504648,0.377492781299014,0.848,0.679,0.356147152472169,"Neural","ZNF589"
"TGIF2",0.00116628528030691,0.721102923221595,0.955,0.916,0.418696415630182,"Neural","TGIF2"
"BRF2",0.00213172616945414,0.876103999304301,0.946,0.893,0.765289694834036,"Neural","BRF2"
"HOXA1",0.00222505359101791,1.10288390665325,0.429,0.328,0.798794239175431,"Neural","HOXA1"
"HINFP",0.00271753174660997,1.91923728065775,0.616,0.45,0.97559389703298,"Neural","HINFP"
"ZBTB2",0.0035498584207892,2.05621723648888,0.696,0.771,1,"Neural","ZBTB2"
"PITX1",0.00361284701749243,2.17969976957377,0.902,0.626,1,"Neural","PITX1"
"DDIT3",0.00531233193127575,0.192786528441706,0.527,0.45,1,"Neural","DDIT3"
"HIF1A",0.005812691350527,0.545982646836706,0.92,0.809,1,"Neural","HIF1A"
"ZNF639",0.00594424386670649,0.490661009549766,0.848,0.672,1,"Neural","ZNF639"
"ZBTB11",0.00675408956935332,2.80293524307592,0.438,0.328,1,"Neural","ZBTB11"
"SPDEF",0.00863075537073794,3.84160036650039,0.161,0.153,1,"Neural","SPDEF"
"NRF1",0.00965640566211372,0.709447900503629,0.848,0.695,1,"Neural","NRF1"
"NFIC",2.70082987925563e-22,6.81988832316334,0.959,0.278,9.69597926652771e-20,"MSC","NFIC"
"SMAD3",1.19100763739982e-21,10.4441071703307,0.939,0.299,4.27571741826534e-19,"MSC","SMAD3"
"SMAD4",1.5366965169122e-20,9.32475399910583,0.918,0.211,5.51674049571478e-18,"MSC","SMAD4"
"JUN",2.30426451335969e-20,5.65728022223231,0.939,0.412,8.27230960296127e-18,"MSC","JUN"
"PBX3",1.46882706187461e-19,6.88701931480745,0.898,0.227,5.27308915212987e-17,"MSC","PBX3"
"E2F7",2.51972633255208e-19,6.32899295633692,1,0.959,9.04581753386195e-17,"MSC","E2F7"
"TCF4",1.3241044340687e-18,5.00121656869673,0.918,0.284,4.75353491830661e-16,"MSC","TCF4"
"SRF",3.41469703657238e-18,3.33125365926691,0.98,0.598,1.22587623612949e-15,"MSC","SRF"
"ETS2",4.08862547430733e-18,1.60324714649607,0.816,0.242,1.46781654527633e-15,"MSC","ETS2"
