"","Fibroblast","Megakaryocyte","MSC","Myeloid","Neural"
"GRHL2",-0.242419814288315,-0.388234728577901,0.752042013651479,-0.710264298365971,-0.0163996726322049
"GTF2B",-0.127830501127425,-0.507456106012211,0.959186558462328,-0.412166687871974,-0.165978034201223
"HBP1",-0.493110852388774,-0.523624150673285,0.255940524131779,-1.46770846231198,0.457367394555279
"HES1",0.229013748026133,-0.292607057449356,0.0914946604604717,-0.13235659343508,0.00623014568898709
"HHEX",-0.269937660042464,-0.880637041754493,0.123078747553147,-0.69569461283005,0.394798400525475
"HIC1",-0.146714399727147,0.0121170456179712,0.0479752409898845,-0.0552549753408568,0.0251007486418168
"HIF1A",-0.652160142908205,0.0232183630732782,0.438194248772131,-1.08314803648259,0.193365891976828
"HINFP",-0.194897423549487,0.0680074934110062,-0.292370129498747,-0.400649755519343,0.242436439312397
"HIVEP2",-0.572570166662577,0.651332726473714,-0.113814529374804,0.000288529819765996,0.0235252570760187
"HMBOX1",-0.681892245805506,-0.800231249539776,0.0831942101191868,-0.934940570765843,0.546508298627921
"HMGA1",-0.155693194659935,-0.0881079042384492,0.383206173752816,-0.102827775062371,-0.0826225349568021
"HMGN3",-0.120845767375033,0.327299556453058,-0.00532006301108381,-0.865412327798409,0.12366702845706
"HNF1A",-0.251158659178601,-0.413844914065627,0.560924749387972,0.148190224783709,-0.0999530299275688
"HNF1B",-0.250548009797441,0.0866974487696468,1.12346331209926,-0.266863225468888,-0.39506142219681
"HNF4A",-0.797658263315455,-0.605340665031747,0.846230336816622,-1.05422398323564,0.214947988370587
"HNF4G",-0.547522429942386,0.155894635073461,0.8841498780674,-0.754717496584573,-0.131817233819036
"HOXA1",-0.167811406743831,-0.225728908893332,-0.0055871579660892,-0.477433332636782,0.204402995119245
"HOXA10",-0.162443562210418,-0.0508890645655404,-0.534779477940861,-0.521056808719688,0.396661038042173
"HOXA9",-0.204373561839887,-0.548659801420679,0.672342193551144,-0.281889352523519,-0.0363811164284646
"HOXB13",-0.272533484222612,-1.03578612404899,0.708445323088917,-0.33003316942577,0.105839257405012
