source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,XBP1,ANGPT1,Transcription_Factor,Ligand,-0.381978690624237,Transcription Factor,Ligand,-0.38197868437461
Fibroblast,Fibroblast,XBP1,VEGFA,Transcription_Factor,Ligand,-0.381978690624237,Transcription Factor,Ligand,-0.38197868437461
Fibroblast,Fibroblast,FOSL2,LAMB1,Transcription_Factor,Ligand,-0.2826442122459411,Transcription Factor,Ligand,-0.282644192678687
Fibroblast,Fibroblast,FOSL2,TGFB1,Transcription_Factor,Ligand,-0.2826442122459411,Transcription Factor,Ligand,-0.282644192678687
Fibroblast,Fibroblast,KLF9,LTBP3,Transcription_Factor,Ligand,-0.2567515969276428,Transcription Factor,Ligand,-0.256751604117775
Fibroblast,Fibroblast,KLF9,VEGFA,Transcription_Factor,Ligand,-0.2567515969276428,Transcription Factor,Ligand,-0.256751604117775
Fibroblast,Fibroblast,GATA3,ANGPT1,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,CLEC2D,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,DLK1,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,ETV5,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,FAM3C,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,ICAM4,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,LAMB1,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,LAMB2,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,LGALS3,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,RARRES1,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,TGFB1,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,VEGFA,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,GATA3,VWF,Transcription_Factor,Ligand,-0.4808460175991058,Transcription Factor,Ligand,-0.480845998994841
Fibroblast,Fibroblast,POU5F1,ANGPT1,Transcription_Factor,Ligand,-0.2605296075344085,Transcription Factor,Ligand,-0.260529629205742
Fibroblast,Fibroblast,POU5F1,ETV5,Transcription_Factor,Ligand,-0.2605296075344085,Transcription Factor,Ligand,-0.260529629205742
Fibroblast,Fibroblast,POU5F1,LAMB1,Transcription_Factor,Ligand,-0.2605296075344085,Transcription Factor,Ligand,-0.260529629205742
Fibroblast,Fibroblast,DUX4,ANGPT1,Transcription_Factor,Ligand,-0.2072123438119888,Transcription Factor,Ligand,-0.207212342501058
Fibroblast,Fibroblast,DUX4,POSTN,Transcription_Factor,Ligand,-0.2072123438119888,Transcription Factor,Ligand,-0.207212342501058
Fibroblast,Fibroblast,CLOCK,VWF,Transcription_Factor,Ligand,-0.2989250421524048,Transcription Factor,Ligand,-0.298925039865344
Fibroblast,Fibroblast,CEBPA,ADM,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,ANGPT1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,ARF6,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,CLEC2D,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,DLK1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,ETV5,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,HLA-DMB,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,HSPA8,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,LAMB1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,LGALS3,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,LGALS3BP,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,MFGE8,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,MIF,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,NID1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,RARRES1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,TGFB1,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,VEGFA,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,CEBPA,VWF,Transcription_Factor,Ligand,-1.0203425884246826,Transcription Factor,Ligand,-1.02034261167209
Fibroblast,Fibroblast,TFAP2C,ANGPT1,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,BDNF,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CALR,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CLEC11A,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CLEC2D,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,DLK1,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,ETV5,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,FAM3C,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,GAL,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,HSPA8,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LAMB1,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LAMB2,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS1,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS3,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS3BP,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS9,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LTBP3,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,MFGE8,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,MIF,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
