source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Neural,Neural,TAL1,VCL,Transcription_Factor,Ligand,0.0778063014149665,977,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,CTCF,ADM,Transcription_Factor,Ligand,0.1630250960588455,621,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CALR,Transcription_Factor,Ligand,0.1630250960588455,626,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CLEC11A,Transcription_Factor,Ligand,0.1630250960588455,628,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,COL6A3,Transcription_Factor,Ligand,0.1630250960588455,629,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,COPA,Transcription_Factor,Ligand,0.1630250960588455,630,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CXCL8,Transcription_Factor,Ligand,0.1630250960588455,632,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,EFNB1,Transcription_Factor,Ligand,0.1630250960588455,633,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,FGF7,Transcription_Factor,Ligand,0.1630250960588455,634,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,GDF15,Transcription_Factor,Ligand,0.1630250960588455,635,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,HLA-DQA1,Transcription_Factor,Ligand,0.1630250960588455,619,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,HLA-G,Transcription_Factor,Ligand,0.1630250960588455,638,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,IL16,Transcription_Factor,Ligand,0.1630250960588455,639,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LGALS3,Transcription_Factor,Ligand,0.1630250960588455,641,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LGALS9,Transcription_Factor,Ligand,0.1630250960588455,642,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LTBP3,Transcription_Factor,Ligand,0.1630250960588455,643,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,MIF,Transcription_Factor,Ligand,0.1630250960588455,644,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,NMU,Transcription_Factor,Ligand,0.1630250960588455,646,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,PGF,Transcription_Factor,Ligand,0.1630250960588455,648,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SEMA7A,Transcription_Factor,Ligand,0.1630250960588455,650,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SFRP2,Transcription_Factor,Ligand,0.1630250960588455,651,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SNCA,Transcription_Factor,Ligand,0.1630250960588455,652,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,TF,Transcription_Factor,Ligand,0.1630250960588455,654,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,TNFSF13B,Transcription_Factor,Ligand,0.1630250960588455,656,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,VCL,Transcription_Factor,Ligand,0.1630250960588455,657,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,GATA3,COL6A3,Transcription_Factor,Ligand,0.1424964219331741,773,Transcription Factor,Ligand,0.142496402208884
Neural,Neural,GATA3,ICAM4,Transcription_Factor,Ligand,0.1424964219331741,775,Transcription Factor,Ligand,0.142496402208884
Neural,Neural,GATA3,IL16,Transcription_Factor,Ligand,0.1424964219331741,776,Transcription Factor,Ligand,0.142496402208884
