Unnamed: 0_py,Neural_py,MSC_py,Fibroblast_py,Megakaryocyte_py,Myeloid_py,Unnamed: 0_r,Neural_r,MSC_r,Fibroblast_r,Megakaryocyte_r,Myeloid_r
TBC1D4,0.0,0.2458814851241701,0.3608545034642032,0.0,0.0,TBC1D4,0.0,0.24588148512417,0.360854503464203,0.0,0.0
KCTD12,0.0,0.1372438686301689,0.0,0.0,0.0,KCTD12,0.0,0.137243868630169,0.0,0.0,0.0
CLN5,0.0,0.0,0.0,0.0,0.0,CLN5,0.0,0.0,0.0,0.0,0.0
SLAIN1,14.997049406074565,0.0,0.0,0.0,0.0,SLAIN1,14.9970494060746,0.0,0.0,0.0,0.0
CHAMP1,0.0,0.0,0.0,0.0,0.0,CHAMP1,0.0,0.0,0.0,0.0,0.0
MDP1,0.0,0.0,0.0,0.0,0.0,MDP1,0.0,0.0,0.0,0.0,0.0
DHRS1,0.0,0.1372438686301689,0.3608545034642032,0.0,0.0,DHRS1,0.0,0.137243868630169,0.360854503464203,0.0,0.0
NOP9,0.0,0.0,0.0,0.0,0.0,NOP9,0.0,0.0,0.0,0.0,0.0
NFATC4,0.0,0.2458814851241701,0.6403688524590163,0.0,0.0,NFATC4,0.0,0.24588148512417,0.640368852459016,0.0,0.0
CDKL1,0.0,0.1860361282160995,0.0,0.0,0.0,CDKL1,0.0,0.1860361282161,0.0,0.0,0.0
SAV1,0.0,0.2560622743451207,0.0,0.0,0.0,SAV1,0.0,0.256062274345121,0.0,0.0,0.0
FRMD6-AS1,0.0,2.135206391929971,0.0,0.0,0.0,FRMD6-AS1,0.0,2.13520639192997,0.0,0.0,0.0
BMP4,1.4349261013057837,1.1325619146394592,0.0,0.0,0.0,BMP4,1.43492610130578,1.13256191463946,0.0,0.0,0.0
TBPL2,0.0,0.0,0.0,0.0,0.0,TBPL2,0.0,0.0,0.0,0.0,0.0
L3HYPDH,0.0,0.2532030181799768,0.0,0.0,0.0,L3HYPDH,0.0,0.253203018179977,0.0,0.0,0.0
SPTB,0.0,0.0,0.0,0.0,0.0,SPTB,0.0,0.0,0.0,0.0,0.0
COX16,0.0,0.1860361282160995,0.0,0.0,0.0,COX16,0.0,0.1860361282161,0.0,0.0,0.0
AREL1,0.0,0.0,0.0,0.0,0.0,AREL1,0.0,0.0,0.0,0.0,0.0
FLRT2,0.0,0.5440484548488034,0.0,0.0,0.0,FLRT2,0.0,0.544048454848803,0.0,0.0,0.0
GALC,0.0,0.2532030181799768,0.0,0.0,0.0,GALC,0.0,0.253203018179977,0.0,0.0,0.0
WDR25,0.0,0.0,0.0,0.0,0.0,WDR25,0.0,0.0,0.0,0.0,0.0
IGHV3-15,0.0,0.0,0.0,0.0,0.0,IGHV3-15,0.0,0.0,0.0,0.0,0.0
IGHV3-20,0.0,0.0,0.0,0.0,0.0,IGHV3-20,0.0,0.0,0.0,0.0,0.0
IGHV3-43,0.0,0.0,0.0,0.0,0.0,IGHV3-43,0.0,0.0,0.0,0.0,0.0
IGHV4-59,0.0,0.0,0.0,0.0,0.0,IGHV4-59,0.0,0.0,0.0,0.0,0.0
TJP1,0.0,0.3068896731624981,0.0,0.0,0.0,TJP1,0.0,0.306889673162498,0.0,0.0,0.0
ARHGAP11B,0.0,0.0,0.0,0.0,1.122649452708392,ARHGAP11B,0.0,0.0,0.0,0.0,1.12264945270839
RP11-16E12.1,0.0,0.0,0.0,0.0,0.0,RP11-16E12.1,0.0,0.0,0.0,0.0,0.0
