,means,dispersions,mean_bin,dispersions_norm,highly_variable
CYC1,2.081575266154336,6.86494536830454,"(1.606, 2.409]",1.7921346616746106,True
SHARPIN,2.4634595851621195,7.606809430581538,"(2.409, 3.212]",0.5916120687946032,True
MAF1,1.3423337073714046,4.245756956770134,"(0.803, 1.606]",0.3572007290126853,False
BOP1,8.39079339267439,14.228603844565049,"(8.03, 8.833]",-0.22844185128267558,False
HSF1,2.176151434119827,6.053412741274096,"(1.606, 2.409]",0.3047482250530484,False
DGAT1,10.761075636537942,16.80513102652401,"(10.439, 11.242]",-0.2659971231782283,False
SLC52A2,3.5474145029954625,8.422077947206047,"(3.212, 4.015]",-0.09410297982379955,False
FBXL6,9.999999999995e-13,,"(-0.0161, 0.803]",,False
SLC39A4,7.0590906906084,12.966124889470134,"(6.424, 7.227]",1.0946281842771843,False
VPS28,0.8633385834414667,2.8609710032486064,"(0.803, 1.606]",-1.7207407759274722,False
CYHR1,3.896231421068536,9.233173787228319,"(3.212, 4.015]",1.6121834955380254,False
PPP1R16A,14.603405211830385,20.814003250604927,"(14.454, 15.257]",-0.9706892752722452,False
MFSD3,11.190984412693613,17.34103207741134,"(10.439, 11.242]",1.5124640724301655,False
LRRC14,7.661475105159923,13.241567009753975,"(7.227, 8.03]",-0.471810396435744,False
RPL8,0.4638382514799581,1.2677916516593257,"(-0.0161, 0.803]",-1.1377044192223844,False
ZNF7,5.306782365627877,10.505560591649228,"(4.818, 5.621]",-0.1796259781907372,False
COMMD5,9.536313843902075,15.12134991448716,"(8.833, 9.636]",-0.3165602437667069,False
C8orf33,7.415267679649424,12.917152773451159,"(7.227, 8.03]",-1.3122175812040282,False
WASH1,3.3577389328568708,7.89245333862396,"(3.212, 4.015]",-1.208263923637296,False
CBWD1,6.794325671755914,12.194071815590899,"(6.424, 7.227]",-0.702872735559219,False
DOCK8,7.645019923242475,13.706538147739385,"(7.227, 8.03]",0.7327146870691421,False
SMARCA2,4.3815896290718195,9.456217999731122,"(4.015, 4.818]",-0.31033471748172264,False
PUM3,6.422425372161654,11.74010218904453,"(5.621, 6.424]",0.44174697477894315,False
GLIS3,11.193025493508486,17.34336121206291,"(10.439, 11.242]",1.5201936254704167,False
CDC37L1,4.277024832175553,8.95447592144062,"(4.015, 4.818]",-1.3838852348562583,False
AK3,4.273831394906861,9.264581207918726,"(4.015, 4.818]",-0.7203696455849188,False
JAK2,4.596433105463656,10.324401031987605,"(4.015, 4.818]",1.5472697844773593,False
PLGRKT,4.991836705025395,10.699382036724272,"(4.818, 5.621]",0.26120015381262773,False
KIAA2026,6.765804787649151,12.916858863077225,"(6.424, 7.227]",0.9799265779316735,False
UHRF2,9.77166904438944,15.925950441058532,"(9.636, 10.439]",-0.2309620109260594,False
TMEM261,5.856925228321101,11.682872104105135,"(5.621, 6.424]",0.3041888076368727,False
NFIB,5.298748264349598,10.532308693384186,"(4.818, 5.621]",-0.11879028365916137,False
ZDHHC21,16.060502556984908,22.271102537365213,"(15.257, 16.061]",0.232141253941442,False
PSIP1,5.761967704166245,11.221905166060738,"(5.621, 6.424]",-0.8037908009488728,False
BNC2,9.999999999995e-13,,"(-0.0161, 0.803]",,False
CNTLN,3.8141682402417345,8.673206976451045,"(3.212, 4.015]",0.4341922536466598,False
RRAGA,2.754398713309573,7.30168747387544,"(2.409, 3.212]",-0.012954995183439304,False
HAUS6,9.404332632118008,14.920447300167593,"(8.833, 9.636]",-0.8903288800517388,False
PLIN2,3.1533548297306533,7.901552615708128,"(2.409, 3.212]",1.1756146885443142,False
RPS6,0.5051047672434036,1.4518099746126234,"(-0.0161, 0.803]",-0.8036340631792005,False
MLLT3,5.199909473422816,11.033178643529734,"(4.818, 5.621]",1.0203848095504295,False
HACD4,4.696363880266942,10.142201496533962,"(4.015, 4.818]",1.1574272458206578,False
KLHL9,16.060502556984932,22.27110253736519,"(15.257, 16.061]",0.23214125394128243,False
CDKN2A,8.42841490702422,14.16506305587591,"(8.03, 8.833]",-0.40843777052396785,False
PLAA,11.002495884339954,17.118998045925252,"(10.439, 11.242]",0.775613662361608,False
IFT74,5.987092906872998,11.017935864148825,"(5.621, 6.424]",-1.2940511832978194,False
TOPORS,2.9928056455114302,7.678126562829225,"(2.409, 3.212]",0.7329194650887626,True
TOPORS-AS1,4.487208655129092,9.526789806154826,"(4.015, 4.818]",-0.15933602198391816,False
NDUFB6,2.7981350480892244,7.599410344443187,"(2.409, 3.212]",0.5769515578596518,True
APTX,12.534137207909264,18.744673656506265,"(12.045, 12.848]",0.3929132509254721,False
DNAJA1,1.379130771756565,4.9304049267395476,"(0.803, 1.606]",1.384549706271321,True
SMU1,6.3747569170178116,11.831046081265532,"(5.621, 6.424]",0.660339610801324,False
B4GALT1,4.021190218372039,9.07510384798835,"(4.015, 4.818]",-1.1257841535270694,False
BAG1,1.5424520326142384,5.497909806372217,"(0.803, 1.606]",2.2361195396061877,True
CHMP5,2.502157354665386,6.713702947210888,"(2.409, 3.212]",-1.1779844895784015,False
NFX1,4.963241702905029,9.71299414833846,"(4.818, 5.621]",-1.982233524662577,False
AQP3,10.39366045518058,16.186649531537892,"(9.636, 10.439]",0.6390956444823652,False
