"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"VDR2",0.00251998131000991,0.0228757372788158,1,0.923,0.904673290293557,"Megakaryocyte","VDR"
"BCL6",0.0065043154233565,1.7850971234278,0.706,0.412,1,"Megakaryocyte","BCL6"
"USF21",0.0087593962577636,0.0666475267174325,0.941,0.756,1,"Megakaryocyte","USF2"
"SPI11",0.000326573477820648,4.15984391905718,0.857,0.593,0.117239878537613,"Myeloid","SPI1"
"RARG1",0.000456749708884237,2.95965925027099,1,0.48,0.163973145489441,"Myeloid","RARG"
"RARB1",0.00126274081791111,1.2955123977274,1,0.46,0.45332395363009,"Myeloid","RARB"
"MYB2",0.00168271648890198,2.58640429696416,1,0.524,0.604095219515809,"Myeloid","MYB"
"CEBPA2",0.00260160244852335,1.66195942220143,1,0.464,0.933975279019881,"Myeloid","CEBPA"
"CEBPE",0.00662604576310912,7.0962917179891,0.857,0.242,1,"Myeloid","CEBPE"
"BCL61",0.00916188100336574,2.94824085645685,0.714,0.444,1,"Myeloid","BCL6"
