,gene,tag,cluster,z_score
349,IRF8,***,Neural,0.058201943
350,SOX4,***,Neural,0.10459571
351,KLF2,***,Neural,0.19166635
352,PAX2,***,Neural,0.018728217
353,GFI1,***,Neural,-0.015256533
354,MYBL1,***,Neural,0.029891783
355,SNAI1,***,Neural,-0.24673788
356,CDX1,***,Neural,0.290491
357,SRF,***,Neural,-0.19433226
358,CREB5,***,Neural,-0.15645184
359,FOXL2,***,Neural,0.1534148
360,FOSB,***,Neural,0.3281037
361,E2F4,***,Neural,0.108889505
362,HSF1,***,Neural,0.76658857
363,ZNF740,***,Neural,0.565332
364,ATF6,***,Neural,0.042476624
365,JUN,***,Neural,0.026779544
366,FOXP1,***,Neural,0.13186443
367,NFATC1,***,Neural,-0.13625309
368,ETV4,**,Neural,-0.46518952
369,MITF,**,Neural,0.7685823
370,FOXM1,**,Neural,-0.08258578
371,NFYC,**,Neural,0.18765081
372,THAP11,**,Neural,0.6188829
373,TP53,**,Neural,0.04712829
374,IRF3,**,Neural,0.37507176
375,YY1,*,Neural,0.21452558
376,MBD4,*,Neural,-0.37556306
377,MEF2C,*,Neural,0.045676865
378,CREB1,*,Neural,0.019776603
379,NFYB,*,Neural,0.39487755
380,E2F7,*,Neural,-0.51781595
381,RARG,*,Neural,0.017580925
382,MYB,*,Neural,-0.5894583
383,MNT,*,Neural,0.006542148
384,ZNF766,*,Neural,0.40658876
385,ADNP,***,Neural,0.2385714
386,FOXF2,***,Neural,-0.0643097
